"qiitaID","run_prefix"
"13722.58cfa831e4b0c9d6adf6c848","TCGA-D6-6823-10A-01D-1911_120518_SN1120_0143_BC0VN6ACXX_s_5_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c85a","TCGA-D6-6825-10A-01D-1911_120518_SN1120_0143_BC0VN6ACXX_s_6_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c867","TCGA-D6-6827-10A-01D-1911_120518_SN1120_0143_BC0VN6ACXX_s_8_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c8c4","TCGA-CN-5373-01A-01D-1431_120420_SN1120_0134_AC0J8YACXX_s_4_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c8e8","TCGA-CV-6441-01A-11D-1681_120427_SN208_0287_AC0J25ACXX_s_2_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c8ea","TCGA-CV-7411-01A-11D-2317_120730_SN1222_0140_AC11GKACXX_s_5_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c85f","TCGA-D6-6517-10A-01D-1868_120427_SN208_0288_BD0RWBACXX_s_4_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c8f2","TCGA-CV-5976-01A-11D-1681_120427_SN1120_0137_BD0T3FACXX_s_2_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c931","TCGA-DQ-5624-10A-01D-1868_120427_SN208_0288_BD0RWBACXX_s_6_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c942","TCGA-CV-7247-10A-01D-2317_120710_SN590_0165_BC0VU7ACXX_s_6_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6ca01","TCGA-DQ-5625-01A-01D-1868_120427_SN208_0288_BD0RWBACXX_s_1_rg.sorted.filtered."
"13722.58cfa832e4b0c9d6adf6d22a","TCGA-IQ-7632-10A-01D-2317_120710_SN590_0165_BC0VU7ACXX_s_3_rg.sorted.filtered."
"13722.58cfa830e4b0c9d6adf6c1a4","TCGA-BA-5559-10A-01D-1509_120420_SN208_0286_BD0T87ACXX_s_1_rg.sorted.filtered."
"13722.58cfa830e4b0c9d6adf6c193","TCGA-BA-5555-10A-01D-1509_120420_SN208_0285_AD0T5JACXX_s_5_rg.sorted.filtered."
"13722.58cfa830e4b0c9d6adf6c192","TCGA-BA-5149-01A-01D-1509_120420_SN1120_0135_BD0T5FACXX_s_1_rg.sorted.filtered."
"13722.58cfa830e4b0c9d6adf6c210","TCGA-BA-4077-10A-01D-1431_120310_SN590_0145_BD0RGYACXX_s_8_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c574","TCGA-CN-4738-10A-01D-1509_120420_SN208_0286_BD0T87ACXX_s_2_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c558","TCGA-CN-4733-01A-02D-1868_120427_SN208_0287_AC0J25ACXX_s_5_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c572","TCGA-CN-4736-10A-01D-1431_120412_SN208_0284_BD0T51ACXX_s_3_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c5a8","TCGA-CN-4731-10A-01D-1431_120513_SN590_0157_AD0PU3ACXX_s_8_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c6a2","TCGA-CQ-6223-01A-11D-1911_120504_SN1222_0102_BC0VHDACXX_s_3_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c710","TCGA-CV-7428-01A-11D-2317_120623_SN1222_0119_BC0WLLACXX_s_2_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c6e6","TCGA-CN-4734-10A-01D-1431_120412_SN208_0284_BD0T51ACXX_s_1_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c6ad","TCGA-CV-5970-01A-11D-1681_120427_SN1120_0136_AC0JEMACXX_s_3_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c737","TCGA-CV-7263-01A-11D-2317_120623_SN1222_0118_AD13T1ACXX_s_8_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c6fc","TCGA-CV-5431-01A-01D-1509_120420_SN208_0285_AD0T5JACXX_s_3_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c748","TCGA-CV-6959-01A-11D-1911_120505_SN1120_0138_AD11NHACXX_s_4_rg.sorted.filtered."
