"","beta","se","W","p_val","q_val","diff_abn","genus","species","OGUs","diff_name_flag","diff_label"
"Morganella",0.243768664623387,0.0879444422669123,2.77184843453264,0.00557389828680897,0.0277188455344014,TRUE,"Morganella","Morganella","Morganella",1,""
"Curtobacterium",0.333137571358256,0.124069172327287,2.68509546013138,0.00725090931989106,0.0351096661805251,TRUE,"Curtobacterium","Curtobacterium","Curtobacterium",1,""
"Lysinibacillus",0.267276291552181,0.101700861111718,2.628063210385,0.00858725572841348,0.0405142321545662,TRUE,"Lysinibacillus","Lysinibacillus","Lysinibacillus",1,""
"Lactococcus",0.279436084957094,0.107841515634073,2.59117356904807,0.00956492363011971,0.0438884108750866,TRUE,"Lactococcus","Lactococcus","Lactococcus",1,""
"Hydrogenophaga",0.554201501474922,0.214513243833464,2.58353046912652,0.0097794828580356,0.0438884108750866,TRUE,"Hydrogenophaga","Hydrogenophaga","Hydrogenophaga",1,""
"Collinsella",-0.219483167508211,0.0861475910444503,-2.54775745725684,0.0108417819921783,0.0474973306324002,TRUE,"Collinsella","Collinsella","Collinsella",1,""
"Leptotrichia",0.286688674954324,0.113954810043943,2.51581021322198,0.0118759113901565,0.0496629021770182,TRUE,"Leptotrichia","Leptotrichia","Leptotrichia",1,""
"Arcobacter",0.194025468867116,0.0769970245854163,2.51990865766345,0.0117385291531057,0.0496629021770182,TRUE,"Arcobacter","Arcobacter","Arcobacter",1,""
"Desulfovibrio",0.23752603522407,0.0988889700413397,2.40194669966503,0.0163080844192645,0.0666819451809927,FALSE,"Desulfovibrio","Desulfovibrio","Desulfovibrio",0,""
"Lysobacter",-0.186704134817418,0.0805418914838535,-2.31809970411295,0.020443902997188,0.0817756119887521,FALSE,"Lysobacter","Lysobacter","Lysobacter",0,""
"Proteus",0.235313481304754,0.10443046937477,2.25330291737255,0.0242400559444403,0.094897240293128,FALSE,"Proteus","Proteus","Proteus",0,""
"Streptococcus",0.464758785841056,0.207177354002662,2.2432895143312,0.0248781511066364,0.0953662459087729,FALSE,"Streptococcus","Streptococcus","Streptococcus",0,""
"Bilophila",0.195412452833585,0.0888343737548904,2.19973918398707,0.0278254050204854,0.104487235178966,FALSE,"Bilophila","Bilophila","Bilophila",0,""
"Treponema",0.267233591061722,0.13333217971862,2.00426927412184,0.0450412233802264,0.165751702039233,FALSE,"Treponema","Treponema","Treponema",0,""
"Ruminococcus",0.126051015361476,0.0633004506381403,1.99131308056639,0.0464464782870518,0.167571607937599,FALSE,"Ruminococcus","Ruminococcus","Ruminococcus",0,""
"Diaphorobacter",-0.115414811033174,0.0584691053750447,-1.9739452193232,0.048387972234009,0.171218978674186,FALSE,"Diaphorobacter","Diaphorobacter","Diaphorobacter",0,""
"Lactobacillus",0.273970794965819,0.139570379685472,1.96295801145792,0.0496510531413743,0.172373467509677,FALSE,"Lactobacillus","Lactobacillus","Lactobacillus",0,""
"Conchiformibius",0.18648074862625,0.100669687744549,1.85240217591066,0.0639680930908481,0.217965354235483,FALSE,"Conchiformibius","Conchiformibius","Conchiformibius",0,""
"Roseomonas",-0.103956806862862,0.0573449593175282,-1.81283251570965,0.0698576572340323,0.233705616928399,FALSE,"Roseomonas","Roseomonas","Roseomonas",0,""
"Mobiluncus",0.111913760022368,0.0639982830912081,1.7486994121838,0.0803429917134677,0.254881215091001,FALSE,"Mobiluncus","Mobiluncus","Mobiluncus",0,""
"Methylobacterium",-0.26016065981418,0.148422242883031,-1.75284145260632,0.0796292255751751,0.254881215091001,FALSE,"Methylobacterium","Methylobacterium","Methylobacterium",0,""
"Citrobacter",0.18186782567229,0.103536949429852,1.75654997248599,0.0789945465248183,0.254881215091001,FALSE,"Citrobacter","Citrobacter","Citrobacter",0,""
"Corynebacterium",0.221085597575557,0.132899678272276,1.66355254165936,0.0962018826615303,0.295019106828693,FALSE,"Corynebacterium","Corynebacterium","Corynebacterium",0,""
"Aggregatibacter",0.170701613073794,0.10223438791055,1.66970836880393,0.0949770771645872,0.295019106828693,FALSE,"Aggregatibacter","Aggregatibacter","Aggregatibacter",0,""
"Capnocytophaga",0.154520392860427,0.0944312397683418,1.63632705913314,0.101771155837793,0.306981847117277,FALSE,"Capnocytophaga","Capnocytophaga","Capnocytophaga",0,""
"Brevibacterium",-0.110682895572647,0.0726699889370667,-1.52308947877369,0.127736320732026,0.379088435720852,FALSE,"Brevibacterium","Brevibacterium","Brevibacterium",0,""
"Bifidobacterium",-0.107825988031381,0.0720095428768587,-1.4973847037992,0.134293186060919,0.392221368812841,FALSE,"Bifidobacterium","Bifidobacterium","Bifidobacterium",0,""
"Luteimonas",-0.0842064454044296,0.0577066206392988,-1.45921636844359,0.144505565031248,0.415453499464838,FALSE,"Luteimonas","Luteimonas","Luteimonas",0,""
"Selenomonas",-0.0919005035303573,0.0633958475881977,-1.4496297001551,0.147161809178699,0.416581121367395,FALSE,"Selenomonas","Selenomonas","Selenomonas",0,""
"Gordonia",-0.142918796434752,0.0996166328626175,-1.43468808699701,0.15137600045211,0.420532064011368,FALSE,"Gordonia","Gordonia","Gordonia",0,""
"Actinobacillus",0.158570650849177,0.110999745294238,1.42856770012254,0.153128523308487,0.420532064011368,FALSE,"Actinobacillus","Actinobacillus","Actinobacillus",0,""
"Aerococcus",0.109563771373683,0.077571655434636,1.41242017796055,0.157826278617344,0.427059342141048,FALSE,"Aerococcus","Aerococcus","Aerococcus",0,""
"Peptoniphilus",0.114814002199256,0.0832153541117185,1.37972136782733,0.16767245121591,0.44712653657576,FALSE,"Peptoniphilus","Peptoniphilus","Peptoniphilus",0,""
"Rhodobacter",-0.0850226906710084,0.0620619412560519,-1.36996505346532,0.170697810794066,0.448691388372973,FALSE,"Rhodobacter","Rhodobacter","Rhodobacter",0,""
"Gemella",0.131018945946361,0.0971767429900559,1.34825413895348,0.177576657068019,0.453807012507159,FALSE,"Gemella","Gemella","Gemella",0,""
"Janthinobacterium",0.153227228256391,0.11360477661803,1.34877452179306,0.177409400665796,0.453807012507159,FALSE,"Janthinobacterium","Janthinobacterium","Janthinobacterium",0,""
"Parvimonas",0.117055257766315,0.0876941999569551,1.33481185555911,0.181937932273691,0.458583281347386,FALSE,"Parvimonas","Parvimonas","Parvimonas",0,""
"Solibacillus",0.0760306091837517,0.058314624254315,1.30380003568532,0.192301770464712,0.47756719641641,FALSE,"Solibacillus","Solibacillus","Solibacillus",0,""
"Peptostreptococcus",-0.0666543442760861,0.0516874747060828,-1.28956472830432,0.197201828820832,0.47756719641641,FALSE,"Peptostreptococcus","Peptostreptococcus","Peptostreptococcus",0,""
"Sutterella",0.0874710860472184,0.0678381351481542,1.28940876479265,0.197256015911126,0.47756719641641,FALSE,"Sutterella","Sutterella","Sutterella",0,""
"Fusobacterium",0.161287356050262,0.129120198015163,1.24912568699222,0.211619106825519,0.50568721631033,FALSE,"Fusobacterium","Fusobacterium","Fusobacterium",0,""
"Dorea",0.0753721903174855,0.0608422387228495,1.23881355945535,0.215414551184578,0.508157402794389,FALSE,"Dorea","Dorea","Dorea",0,""
"Actinomyces",-0.16976967912399,0.140855052697623,-1.20527929863076,0.228095498470997,0.524619646483293,FALSE,"Actinomyces","Actinomyces","Actinomyces",0,""
"Alishewanella",-0.0605405943162956,0.0501278535740618,-1.20772365062169,0.227153577676234,0.524619646483293,FALSE,"Alishewanella","Alishewanella","Alishewanella",0,""
"Devosia",0.111222428918562,0.0937869324596094,1.18590539216603,0.235659663500019,0.535325655358068,FALSE,"Devosia","Devosia","Devosia",0,""
"Brevundimonas",-0.121626203042363,0.103966610835083,-1.1698583041751,0.242057995806636,0.536610496727963,FALSE,"Brevundimonas","Brevundimonas","Brevundimonas",0,""
"Lautropia",-0.0736714027250241,0.0628675098796748,-1.17185176995283,0.24125657356635,0.536610496727963,FALSE,"Lautropia","Lautropia","Lautropia",0,""
