"","beta","se","W","p_val","q_val","diff_abn","genus","species","OGUs","diff_name_flag","diff_label"
"Acidovorax",-1.71059821336595,0.172578923283217,-9.91197639215021,3.6926800175167e-23,6.79453123223073e-21,TRUE,"Acidovorax","Acidovorax","Acidovorax",1,"Acidovorax
(Acidovorax)"
"Chryseobacterium",-1.12278573474746,0.118537882720751,-9.47195705690556,2.74648940774388e-21,2.52677025512437e-19,TRUE,"Chryseobacterium","Chryseobacterium","Chryseobacterium",1,"Chryseobacterium
(Chryseobacterium)"
"Streptomyces",-1.25206500360686,0.153912999765505,-8.13488792703965,4.12319607977867e-16,2.52889359559758e-14,TRUE,"Streptomyces","Streptomyces","Streptomyces",1,"Streptomyces
(Streptomyces)"
"Janthinobacterium",-0.944716099241014,0.119607070628306,-7.89849708949766,2.82286370518997e-15,1.10802069573428e-13,TRUE,"Janthinobacterium","Janthinobacterium","Janthinobacterium",1,""
"Pseudoxanthomonas",-0.724192002757725,0.0917807938553781,-7.89045259184462,3.01092580362575e-15,1.10802069573428e-13,TRUE,"Pseudoxanthomonas","Pseudoxanthomonas","Pseudoxanthomonas",1,""
"Sphingobium",0.809319454092377,0.109025229331774,7.42323092602305,1.14297238467709e-13,3.50511531300973e-12,TRUE,"Sphingobium","Sphingobium","Sphingobium",1,""
"Massilia",-1.22411576011053,0.166717684962451,-7.34244696587667,2.09723637101425e-13,5.5127356038089e-12,TRUE,"Massilia","Massilia","Massilia",1,""
"Hydrogenophaga",-0.781720600761067,0.118141742036042,-6.61680272602195,3.67050788834835e-11,8.44216814320121e-10,TRUE,"Hydrogenophaga","Hydrogenophaga","Hydrogenophaga",1,""
"Lysobacter",-0.666114357888415,0.101787727577112,-6.54415196943839,5.98339300121504e-11,1.22327145802619e-09,TRUE,"Lysobacter","Lysobacter","Lysobacter",1,""
"Prevotella",-1.33026892811793,0.205486358027779,-6.47375787320192,9.55950457452729e-11,1.75894884171302e-09,TRUE,"Prevotella","Prevotella","Prevotella",1,""
"Novosphingobium",-0.844406026779089,0.133180756558959,-6.34030057041513,2.29317336714514e-10,3.8358536323155e-09,TRUE,"Novosphingobium","Novosphingobium","Novosphingobium",1,""
"Flavobacterium",-0.683079333422723,0.108927757930873,-6.27093907373192,3.58877034656734e-10,5.50278119806992e-09,TRUE,"Flavobacterium","Flavobacterium","Flavobacterium",1,""
"Lachnobacterium",0.241124206662264,0.0405721598483925,5.94309515597105,2.79689963840746e-09,3.95868871897672e-08,TRUE,"Lachnobacterium","Lachnobacterium","Lachnobacterium",1,""
"Moraxella",-0.518934879097928,0.0923566164435023,-5.61881648636812,1.92269939967378e-08,2.52697635385696e-07,TRUE,"Moraxella","Moraxella","Moraxella",1,""
"Azospirillum",-0.402233255579313,0.0718708635461513,-5.59661086193883,2.18582569202184e-08,2.68127951554679e-07,TRUE,"Azospirillum","Azospirillum","Azospirillum",1,""
"Methylobacterium",-0.646123816532057,0.116051079346089,-5.56758127690634,2.58299606833665e-08,2.97044547858715e-07,TRUE,"Methylobacterium","Methylobacterium","Methylobacterium",1,""
"Haemophilus",-0.894309550550006,0.175767789537666,-5.08801728065402,3.61826407672684e-07,3.91623876539846e-06,TRUE,"Haemophilus","Haemophilus","Haemophilus",1,""
"Cellulomonas",-0.334235992161484,0.0662661558296698,-5.04384158061927,4.56277109403168e-07,4.66416600723239e-06,TRUE,"Cellulomonas","Cellulomonas","Cellulomonas",1,""
"Aeromonas",-0.553084329128807,0.110854164677312,-4.98929680033935,6.05994800996688e-07,5.86858123070476e-06,TRUE,"Aeromonas","Aeromonas","Aeromonas",1,""
"Comamonas",-1.1279993078355,0.229414125720984,-4.91686945732097,8.79391502213611e-07,8.09040182036522e-06,TRUE,"Comamonas","Comamonas","Comamonas",1,""
"Bacillus",-0.972425248783963,0.208649443343503,-4.66056958121399,3.15335533907793e-06,2.6373517381379e-05,TRUE,"Bacillus","Bacillus","Bacillus",1,""
"Alkalibacterium",0.244675653087517,0.0524637568959784,4.6637081971206,3.10561674771609e-06,2.6373517381379e-05,TRUE,"Alkalibacterium","Alkalibacterium","Alkalibacterium",1,""
"Lactobacillus",-0.871140196037447,0.193916479720817,-4.49234741313185,7.04423868963938e-06,5.63539095171151e-05,TRUE,"Lactobacillus","Lactobacillus","Lactobacillus",1,""
"Butyricimonas",0.180788896177589,0.040890391917965,4.42130504741287,9.81065558587254e-06,7.52150261583561e-05,TRUE,"Butyricimonas","Butyricimonas","Butyricimonas",1,""
"Veillonella",-0.779689174520462,0.177124604985885,-4.4019247048291,1.07294794952388e-05,7.89689690849576e-05,TRUE,"Veillonella","Veillonella","Veillonella",1,""
"Streptococcus",-1.11171737133811,0.256398434378039,-4.33589765879371,1.45166477453712e-05,0.000102733199428781,TRUE,"Streptococcus","Streptococcus","Streptococcus",1,""
"Anaerovorax",0.21632294409971,0.0503679735846667,4.29485104728463,1.74810665991939e-05,0.000114875580508988,TRUE,"Anaerovorax","Anaerovorax","Anaerovorax",1,""
"Turicibacter",0.220426522879962,0.051319418720273,4.29518744320627,1.74545795036287e-05,0.000114875580508988,TRUE,"Turicibacter","Turicibacter","Turicibacter",1,""
"Adhaeribacter",0.220292180856414,0.0518405474131478,4.24941849284068,2.14326176391874e-05,0.000135986263641741,TRUE,"Adhaeribacter","Adhaeribacter","Adhaeribacter",1,""
"Alloscardovia",0.218928050909634,0.0522337921741978,4.19131067833477,2.77347567267649e-05,0.000157682094543017,TRUE,"Alloscardovia","Alloscardovia","Alloscardovia",1,""
"Atopobium",-0.350207037453889,0.083643661493236,-4.18689272088129,2.8279940869128e-05,0.000157682094543017,TRUE,"Atopobium","Atopobium","Atopobium",1,""
"Holdemania",0.21439094254999,0.0511569025691333,4.19085073143869,2.7791045571423e-05,0.000157682094543017,TRUE,"Holdemania","Holdemania","Holdemania",1,""
"Phascolarctobacterium",0.212986503232844,0.0508696934122511,4.18690361482599,2.82785840909608e-05,0.000157682094543017,TRUE,"Phascolarctobacterium","Phascolarctobacterium","Phascolarctobacterium",1,""
"Salinimicrobium",0.214717712416878,0.0515294894608353,4.16688996268967,3.08783454173282e-05,0.000167106339905541,TRUE,"Salinimicrobium","Salinimicrobium","Salinimicrobium",1,""
"Ethanoligenens",0.263191034915261,0.0635118573890794,4.1439669021633,3.41349032120369e-05,0.000179452062600423,TRUE,"Ethanoligenens","Ethanoligenens","Ethanoligenens",1,""
"Tessaracoccus",0.248234902727936,0.0604093856031646,4.1092108494302,3.97013469103014e-05,0.000187308918756294,TRUE,"Tessaracoccus","Tessaracoccus","Tessaracoccus",1,""
"Paludibacter",0.210604513310958,0.0512298836995267,4.11096996718155,3.94000452134161e-05,0.000187308918756294,TRUE,"Paludibacter","Paludibacter","Paludibacter",1,""
"Solibacillus",0.211612385787657,0.0513180043496063,4.12355056416531,3.73076513967202e-05,0.000187308918756294,TRUE,"Solibacillus","Solibacillus","Solibacillus",1,""
"Skermanella",-0.311973394301861,0.0757241589030622,-4.11986608793148,3.79092658923094e-05,0.000187308918756294,TRUE,"Skermanella","Skermanella","Skermanella",1,""
"Gordonia",-0.789204704575744,0.192718380872869,-4.09511900733723,4.21951587225675e-05,0.00019409773012381,TRUE,"Gordonia","Gordonia","Gordonia",1,""
"Sphaerobacter",0.207838102622843,0.0510287502789986,4.07296086003464,4.64192274789115e-05,0.000204274939769304,TRUE,"Sphaerobacter","Sphaerobacter","Sphaerobacter",1,""
"Anaerostipes",0.206758338450212,0.0507766695713311,4.07191610233038,4.66279753821237e-05,0.000204274939769304,TRUE,"Anaerostipes","Anaerostipes","Anaerostipes",1,""
"Butyricicoccus",0.202296364785283,0.0502478688547215,4.02596904895945,5.67411526273535e-05,0.000238587969416316,TRUE,"Butyricicoccus","Butyricicoccus","Butyricicoccus",1,""
"Agrobacterium",0.349969281054841,0.0869558745369633,4.02467668709462,5.70536448604234e-05,0.000238587969416316,TRUE,"Agrobacterium","Agrobacterium","Agrobacterium",1,""
"Roseomonas",-0.337159570009548,0.0845022793608863,-3.98994645540426,6.60882127677673e-05,0.000270227358872648,TRUE,"Roseomonas","Roseomonas","Roseomonas",1,""
"Flavonifractor",0.203480102901464,0.0511613266981963,3.97722490860734,6.97242117613555e-05,0.000278896847045422,TRUE,"Flavonifractor","Flavonifractor","Flavonifractor",1,""
"Devosia",-0.413869679703014,0.104956002336922,-3.94326832661214,8.03786368772513e-05,0.000314673812455622,TRUE,"Devosia","Devosia","Devosia",1,""
"Luteimonas",-0.305179923777078,0.0789291018261291,-3.86650698812399,0.000110405301810362,0.000423220323606386,TRUE,"Luteimonas","Luteimonas","Luteimonas",1,""
"Diaphorobacter",-0.656906441831184,0.170315428233715,-3.8569990319946,0.000114787616761678,0.00043103921396222,TRUE,"Diaphorobacter","Diaphorobacter","Diaphorobacter",1,""
