"","beta","se","W","p_val","q_val","diff_abn","genus","species","OGUs","diff_name_flag","diff_label"
"Diaphorobacter",-1.14078615875388,0.130340653106291,-8.75234342905729,2.08967331026865e-18,3.82410215779163e-16,TRUE,"Diaphorobacter","Diaphorobacter","Diaphorobacter",1,"Diaphorobacter
(Diaphorobacter)"
"Gordonia",-1.27649317998289,0.157404736226673,-8.10962370372804,5.07767630142469e-16,4.6460738158036e-14,TRUE,"Gordonia","Gordonia","Gordonia",1,"Gordonia
(Gordonia)"
"Porphyromonas",-1.05330969824209,0.134175786981621,-7.85022187636857,4.15301881486551e-15,2.53334147706796e-13,TRUE,"Porphyromonas","Porphyromonas","Porphyromonas",1,"Porphyromonas
(Porphyromonas)"
"Modestobacter",-0.289351151188684,0.0461944762816585,-6.26376083201902,3.75801723230049e-10,1.71929288377747e-08,TRUE,"Modestobacter","Modestobacter","Modestobacter",1,""
"Citrobacter",-0.613703876928479,0.104730126129576,-5.8598600002561,4.63257558161347e-09,1.69552266287053e-07,TRUE,"Citrobacter","Citrobacter","Citrobacter",1,""
"Erwinia",-0.247806497633895,0.0438621402761678,-5.64966725457626,1.60758706179806e-08,4.90314053848408e-07,TRUE,"Erwinia","Erwinia","Erwinia",1,""
"Brevibacterium",-0.515885678135053,0.0919913452476201,-5.60798058498225,2.04700983113215e-08,5.35146855853118e-07,TRUE,"Brevibacterium","Brevibacterium","Brevibacterium",1,""
"Lysobacter",-0.638387096789726,0.116754770783006,-5.46776026802534,4.5575771166297e-08,1.04254576542904e-06,TRUE,"Lysobacter","Lysobacter","Lysobacter",1,""
"Alcaligenes",-0.462511292491303,0.0853369121377464,-5.41982690614281,5.96567680378463e-08,1.21302095010287e-06,TRUE,"Alcaligenes","Alcaligenes","Alcaligenes",1,""
"Actinomyces",-0.827019524071722,0.154974820161568,-5.33647674641284,9.47700197069151e-08,1.73429136063655e-06,TRUE,"Actinomyces","Actinomyces","Actinomyces",1,""
"Propionibacterium",0.812294872603361,0.157811094306217,5.14726088285771,2.64317609475664e-07,4.3972838667315e-06,TRUE,"Propionibacterium","Propionibacterium","Propionibacterium",1,""
"Gluconacetobacter",-0.219588497115956,0.0432813412768105,-5.07351414346321,3.90535432973945e-07,5.95566535285266e-06,TRUE,"Gluconacetobacter","Gluconacetobacter","Gluconacetobacter",1,""
"Paenibacillus",-0.498597036464436,0.104722450284708,-4.76112844102582,1.92513471621887e-06,2.55355259303489e-05,TRUE,"Paenibacillus","Paenibacillus","Paenibacillus",1,""
"Aeromonas",-0.540393275417456,0.113571607984887,-4.75817226686941,1.95353750286823e-06,2.55355259303489e-05,TRUE,"Aeromonas","Aeromonas","Aeromonas",1,""
"Neisseria",-0.555554948255358,0.121236206033625,-4.58241779771032,4.59630411296018e-06,5.60749101781142e-05,TRUE,"Neisseria","Neisseria","Neisseria",1,""
"Escherichia",1.58731101604274,0.356318668606059,4.45475119856168,8.39905382498772e-06,9.17155599758367e-05,TRUE,"Escherichia","Escherichia","Escherichia",1,""
"Treponema",-0.192090449457684,0.0431500826585484,-4.45168207388425,8.52002469720887e-06,9.17155599758367e-05,TRUE,"Treponema","Treponema","Treponema",1,""
"Dietzia",-0.506489103527717,0.11461129208232,-4.41919024142864,9.90714092937891e-06,9.75438543093071e-05,TRUE,"Dietzia","Dietzia","Dietzia",1,""
"Halomonas",-0.43486936356545,0.0985108067776194,-4.414433073796,1.0127503999327e-05,9.75438543093071e-05,TRUE,"Halomonas","Halomonas","Halomonas",1,""
"Skermanella",-0.370069922339971,0.0843033619395083,-4.38974097623193,1.13485757080851e-05,0.000103839467728979,TRUE,"Skermanella","Skermanella","Skermanella",1,""
"Enterococcus",-0.448938397117921,0.102568583478523,-4.37695814734465,1.2034707203594e-05,0.000104873877059891,TRUE,"Enterococcus","Enterococcus","Enterococcus",1,""
"Lactobacillus",0.586656149639802,0.135106588575286,4.34217276763595,1.41080521126837e-05,0.000117353342573687,TRUE,"Lactobacillus","Lactobacillus","Lactobacillus",1,""
"Achromobacter",-0.749580065597289,0.176372472240629,-4.24998332265038,2.13786432470473e-05,0.000170099639748246,TRUE,"Achromobacter","Achromobacter","Achromobacter",1,""
"Kocuria",-0.657048625469754,0.159038342405344,-4.13138502031869,3.60584040966581e-05,0.000274945331237018,TRUE,"Kocuria","Kocuria","Kocuria",1,""
"Staphylococcus",1.1498689030536,0.281990802516814,4.07768229598565,4.54868631018109e-05,0.000332963837905256,TRUE,"Staphylococcus","Staphylococcus","Staphylococcus",1,""
"Deinococcus",-0.418261116744311,0.103629922318047,-4.03610373711021,5.43461939051799e-05,0.00036834642535733,TRUE,"Deinococcus","Deinococcus","Deinococcus",1,""
"Clostridium",-0.430668517327092,0.106481195853285,-4.04454996843281,5.24237268568232e-05,0.00036834642535733,TRUE,"Clostridium","Clostridium","Clostridium",1,""
"Bifidobacterium",-0.505824828870858,0.126246002031497,-4.00666017720435,6.15833668196367e-05,0.000388612280275639,TRUE,"Bifidobacterium","Bifidobacterium","Bifidobacterium",1,""
"Serratia",0.531724505557221,0.132447088150345,4.01461831273818,5.95420708210015e-05,0.000388612280275639,TRUE,"Serratia","Serratia","Serratia",1,""
"Devosia",-0.500782000616755,0.127535128643845,-3.92662010805855,8.61478829230287e-05,0.000525502085830475,TRUE,"Devosia","Devosia","Devosia",1,""
"Leptotrichia",-0.221958522756396,0.0572805822960042,-3.87493481838922,0.000106653243740457,0.000629598180790437,TRUE,"Leptotrichia","Leptotrichia","Leptotrichia",1,""
"Hymenobacter",-0.323181674490127,0.084203948529667,-3.83808218181434,0.000123998985350197,0.000667406303502533,TRUE,"Hymenobacter","Hymenobacter","Hymenobacter",1,""
