"","beta","se","W","p_val","q_val","diff_abn","genus","species","OGUs","diff_name_flag","diff_label"
"Curtobacterium",-1.03827616491217,0.0728220444967142,-14.257717866724,4.01366582169037e-46,7.22459847904267e-44,TRUE,"Curtobacterium","Curtobacterium","Curtobacterium",1,"Curtobacterium
(Curtobacterium)"
"Citrobacter",-1.19579475199559,0.0856436224131095,-13.9624494889715,2.64195184572577e-44,2.37775666115319e-42,TRUE,"Citrobacter","Citrobacter","Citrobacter",1,"Citrobacter
(Citrobacter)"
"Rickettsia",-1.3203404883189,0.0961566176348407,-13.731145300191,6.60806020148009e-43,3.96483612088806e-41,TRUE,"Rickettsia","Rickettsia","Rickettsia",1,"Rickettsia
(Rickettsia)"
"Shigella",-2.26131139127966,0.170231980152554,-13.2837049140425,2.87794696044286e-40,1.29507613219929e-38,TRUE,"Shigella","Shigella","Shigella",1,""
"Flavobacterium",-1.52626719111802,0.121508112629201,-12.5610311780222,3.45796432235908e-36,1.24486715604927e-34,TRUE,"Flavobacterium","Flavobacterium","Flavobacterium",1,""
"Devosia",-0.599271535736809,0.0489398090168287,-12.2450730351388,1.78516310420395e-34,5.35548931261186e-33,TRUE,"Devosia","Devosia","Devosia",1,""
"Exiguobacterium",-1.31649381442774,0.112211122665794,-11.7322934050731,8.70671587376638e-32,1.95901107159743e-30,TRUE,"Exiguobacterium","Exiguobacterium","Exiguobacterium",1,""
"Clostridium",-2.14588175015731,0.182847328383778,-11.7359207220864,8.34136231859667e-32,1.95901107159743e-30,TRUE,"Clostridium","Clostridium","Clostridium",1,""
"Escherichia",-1.46854976208208,0.127189510714798,-11.5461546618814,7.71977298553033e-31,1.54395459710607e-29,TRUE,"Escherichia","Escherichia","Escherichia",1,""
"Actinobacillus",-0.748131486655605,0.0703142426307549,-10.6398285562757,1.94486867301499e-26,3.50076361142698e-25,TRUE,"Actinobacillus","Actinobacillus","Actinobacillus",1,""
"Enterobacter",-1.4031594834291,0.133640134104442,-10.4995366312077,8.68051767690872e-26,1.42044834713052e-24,TRUE,"Enterobacter","Enterobacter","Enterobacter",1,""
"Streptomyces",-2.03013026960098,0.199441226649521,-10.1790903701597,2.45848697464137e-24,3.68773046196205e-23,TRUE,"Streptomyces","Streptomyces","Streptomyces",1,""
"Bacillus",-1.83231145805795,0.181067632206242,-10.1194864909422,4.52784879778891e-24,6.2693291046308e-23,TRUE,"Bacillus","Bacillus","Bacillus",1,""
"Staphylococcus",-1.29112829358717,0.131256154931831,-9.83670666154836,7.82297884386629e-23,1.00581156563995e-21,TRUE,"Staphylococcus","Staphylococcus","Staphylococcus",1,""
"Paenibacillus",-1.1004539019908,0.111970132318564,-9.82810218407101,8.52093427934704e-23,1.02251211352164e-21,TRUE,"Paenibacillus","Paenibacillus","Paenibacillus",1,""
"Acetivibrio",-0.473391610092558,0.0512729574967671,-9.2327736335944,2.63712983809523e-20,2.96677106785713e-19,TRUE,"Acetivibrio","Acetivibrio","Acetivibrio",1,""
"Pantoea",-0.494260651545958,0.0550742830015728,-8.974436426741,2.84806054686805e-19,3.01559352021322e-18,TRUE,"Pantoea","Pantoea","Pantoea",1,""
"Rhodococcus",-0.639938147564561,0.0751438454128593,-8.51617513115783,1.64909389105218e-17,1.64909389105218e-16,TRUE,"Rhodococcus","Rhodococcus","Rhodococcus",1,""
"Klebsiella",-1.17847171067759,0.138671446492463,-8.49830113181697,1.92385497108483e-17,1.82259944629089e-16,TRUE,"Klebsiella","Klebsiella","Klebsiella",1,""
"Pseudomonas",-1.59860702627818,0.188999735934153,-8.4582500519214,2.7141963551355e-17,2.44277671962195e-16,TRUE,"Pseudomonas","Pseudomonas","Pseudomonas",1,""
"Corynebacterium",-0.910080189660833,0.108607060075138,-8.37956748880977,5.31225485604732e-17,4.55336130518342e-16,TRUE,"Corynebacterium","Corynebacterium","Corynebacterium",1,""
"Parabacteroides",-0.62595917744327,0.077275433220582,-8.1003645189083,5.47947549760364e-16,4.48320722531207e-15,TRUE,"Parabacteroides","Parabacteroides","Parabacteroides",1,""
"Geobacillus",-0.387802895649797,0.0481175527758145,-8.05948917345439,7.66139271671983e-16,5.99587256091117e-15,TRUE,"Geobacillus","Geobacillus","Geobacillus",1,""
"Rhizobium",-0.730012734783805,0.09160945531466,-7.9687487746364,1.60288929973113e-15,1.20216697479835e-14,TRUE,"Rhizobium","Rhizobium","Rhizobium",1,""
"Acinetobacter",-1.34218820578417,0.171215102144235,-7.83919285726023,4.5345165515864e-15,3.26485191714221e-14,TRUE,"Acinetobacter","Acinetobacter","Acinetobacter",1,""
"Chryseobacterium",-0.911408859182108,0.116918511103456,-7.79524859306188,6.42818004780428e-15,4.45027849463373e-14,TRUE,"Chryseobacterium","Chryseobacterium","Chryseobacterium",1,""
"Propionibacterium",-1.28227194808299,0.168122390640868,-7.627014719426,2.40252169376235e-14,1.6016811291749e-13,TRUE,"Propionibacterium","Propionibacterium","Propionibacterium",1,""
"Aeromonas",-0.590441248935346,0.077585966138104,-7.61015526808487,2.73766833957774e-14,1.7599296468714e-13,TRUE,"Aeromonas","Aeromonas","Aeromonas",1,""
"Paracoccus",-0.43819861573678,0.0586977809846236,-7.46533528842546,8.3087767041034e-14,5.15717174737453e-13,TRUE,"Paracoccus","Paracoccus","Paracoccus",1,""
"Mycobacterium",-0.82876650469347,0.112684826717055,-7.35473025817798,1.91313054578808e-13,1.14787832747285e-12,TRUE,"Mycobacterium","Mycobacterium","Mycobacterium",1,""
"Enterococcus",-1.48482235300084,0.215697709825042,-6.88381139607473,5.8272014954824e-12,3.38353635221559e-11,TRUE,"Enterococcus","Enterococcus","Enterococcus",1,""
"Serratia",-0.528294673817571,0.0793905104728852,-6.65438061388966,2.84495574323088e-11,1.60028760556737e-10,TRUE,"Serratia","Serratia","Serratia",1,""
"Blautia",-0.469147335929853,0.0709532099778972,-6.61206640370461,3.7899191212771e-11,2.06722861160569e-10,TRUE,"Blautia","Blautia","Blautia",1,""
"Desulfovibrio",-0.424369265371598,0.0693775494933303,-6.11680966639497,9.54672761495381e-10,5.05414991379907e-09,TRUE,"Desulfovibrio","Desulfovibrio","Desulfovibrio",1,""
