"","beta","se","W","p_val","q_val","diff_abn","genus","species","OGUs","diff_name_flag","diff_label"
"Actinomyces",-0.118556521088759,0.00610729958620399,-19.4122655054569,6.07868887820616e-84,4.13350843718019e-82,TRUE,"Actinomyces","Actinomyces","Actinomyces",1,"Actinomyces
(Actinomyces)"
"Corynebacterium",-0.1887284905372,0.00988794772420719,-19.0867200961393,3.25580635682006e-81,1.10697416131882e-79,TRUE,"Corynebacterium","Corynebacterium","Corynebacterium",1,"Corynebacterium
(Corynebacterium)"
"Methylobacterium",-0.0867311658578007,0.0049972133918667,-17.3559059933205,1.77970560936958e-67,4.03399938123772e-66,TRUE,"Methylobacterium","Methylobacterium","Methylobacterium",1,"Methylobacterium
(Methylobacterium)"
"Veillonella",-0.0915615053048729,0.00541354848004554,-16.9133989734036,3.58425391477132e-64,6.09323165511124e-63,TRUE,"Veillonella","Veillonella","Veillonella",1,""
"Streptococcus",-0.202411954446546,0.0145285745104726,-13.9319899760738,4.04914405734635e-44,5.50683591799104e-43,TRUE,"Streptococcus","Streptococcus","Streptococcus",1,""
"Acinetobacter",-0.200885833319151,0.0151641895956522,-13.2473833864981,4.67210525167344e-40,5.29505261856323e-39,TRUE,"Acinetobacter","Acinetobacter","Acinetobacter",1,""
"Shewanella",-0.0532745163611782,0.00433878940763504,-12.2786591733238,1.17936630228195e-34,1.14567012221675e-33,TRUE,"Shewanella","Shewanella","Shewanella",1,""
"Paracoccus",-0.0488812299698697,0.00409310209884781,-11.9423431884657,7.11889958979193e-33,6.05106465132314e-32,TRUE,"Paracoccus","Paracoccus","Paracoccus",1,""
"Gordonia",-0.0467767186668654,0.00400169909367445,-11.6892143991551,1.44719038426292e-31,1.09343273477643e-30,TRUE,"Gordonia","Gordonia","Gordonia",1,""
"Mogibacterium",0.050979711528023,0.00443477435801154,11.4954465351606,1.39060037040969e-30,9.45608251878591e-30,TRUE,"Mogibacterium","Mogibacterium","Mogibacterium",1,""
"Solobacterium",0.0489523071526964,0.00438165983425226,11.1720920848366,5.58497150500696e-29,3.45252783945885e-28,TRUE,"Solobacterium","Solobacterium","Solobacterium",1,""
"Catonella",0.0478612886539384,0.00433475156501331,11.0412991231694,2.41515726179644e-28,1.36858911501798e-27,TRUE,"Catonella","Catonella","Catonella",1,""
"Nocardioides",-0.0430840097757033,0.00396963527041507,-10.8533925262102,1.92157967019969e-27,1.00513398133522e-26,TRUE,"Nocardioides","Nocardioides","Nocardioides",1,""
"Eikenella",0.0464328405227038,0.00429986348834677,10.7986778297831,3.49195602076857e-27,1.6960929243733e-26,TRUE,"Eikenella","Eikenella","Eikenella",1,""
"Myroides",0.0465156965475053,0.00434806020683498,10.698034142762,1.03960342815361e-26,4.71286887429639e-26,TRUE,"Myroides","Myroides","Myroides",1,""
"Roseburia",0.0456230278280148,0.00430107504110857,10.6073545315907,2.75437374256758e-26,1.17060884059122e-25,TRUE,"Roseburia","Roseburia","Roseburia",1,""
"Tannerella",0.0456580181569636,0.00432219914458046,10.5636081609552,4.39438900025613e-26,1.75775560010245e-25,TRUE,"Tannerella","Tannerella","Tannerella",1,""
"Mobiluncus",0.0457771340073883,0.00436506290284734,10.4871647960738,9.89531770270286e-26,3.73823113213219e-25,TRUE,"Mobiluncus","Mobiluncus","Mobiluncus",1,""
"Peptostreptococcus",0.0451671153247919,0.00434154864334138,10.4034571613207,2.39097734292003e-25,8.55718206939802e-25,TRUE,"Peptostreptococcus","Peptostreptococcus","Peptostreptococcus",1,""
"Propionimicrobium",0.0439664016572447,0.00427090122137901,10.29440845814,7.46771472982703e-25,2.41811715061066e-24,TRUE,"Propionimicrobium","Propionimicrobium","Propionimicrobium",1,""
"Lysinibacillus",0.0442883491158839,0.00430047240660422,10.2984846613294,7.15799469969125e-25,2.41811715061066e-24,TRUE,"Lysinibacillus","Lysinibacillus","Lysinibacillus",1,""
"Bacteroides",-0.0386842453366742,0.00378949042192935,-10.2082974303914,1.82030803090256e-24,5.62640664097155e-24,TRUE,"Bacteroides","Bacteroides","Bacteroides",1,""
"Morganella",0.0435344741858289,0.00428718808753393,10.1545519573578,3.16259455816048e-24,9.35027956325708e-24,TRUE,"Morganella","Morganella","Morganella",1,""
"Oribacterium",0.0416964570275787,0.00416437210547125,10.0126636072691,1.34092738817535e-23,3.79929426649684e-23,TRUE,"Oribacterium","Oribacterium","Oribacterium",1,""
"Dialister",0.0416950350582914,0.00425516114460673,9.79869707429023,1.1404719799747e-22,3.10208378553119e-22,TRUE,"Dialister","Dialister","Dialister",1,""
"Agromyces",0.0388843640488303,0.00414813254708381,9.37394444547497,6.98713777174772e-21,1.8136859492727e-20,TRUE,"Agromyces","Agromyces","Agromyces",1,""
"Parvimonas",0.0386665483156169,0.00412629922873902,9.37075722630838,7.20140009270042e-21,1.8136859492727e-20,TRUE,"Parvimonas","Parvimonas","Parvimonas",1,""
"Eubacterium",0.0377220027387548,0.00409858407197558,9.20366694358725,3.45938302602941e-20,8.4013587775e-20,TRUE,"Eubacterium","Eubacterium","Eubacterium",1,""
"Alcanivorax",0.0374267629162741,0.0040796894982939,9.17392437143214,4.56105072152331e-20,1.06948775539167e-19,TRUE,"Alcanivorax","Alcanivorax","Alcanivorax",1,""
"Lachnoanaerobaculum",0.0370738648024062,0.00405273234685953,9.14786904966343,5.8067629073473e-20,1.31619959233205e-19,TRUE,"Lachnoanaerobaculum","Lachnoanaerobaculum","Lachnoanaerobaculum",1,""
"Arcobacter",0.0353959460576506,0.00419620444072145,8.43522915951279,3.30554471357881e-17,7.25087227494707e-17,TRUE,"Arcobacter","Arcobacter","Arcobacter",1,""
"Brevundimonas",-0.0285092652866448,0.00338844622042565,-8.41366910733011,3.97380691338721e-17,8.44433969094783e-17,TRUE,"Brevundimonas","Brevundimonas","Brevundimonas",1,""
"Parabacteroides",0.0352939421051021,0.0043043843105592,8.19953321048067,2.41322247212665e-16,4.97270085165491e-16,TRUE,"Parabacteroides","Parabacteroides","Parabacteroides",1,""
"Halomonas",0.0313974085739904,0.00398013455440786,7.88852943155371,3.05768121901485e-15,6.1153624380297e-15,TRUE,"Halomonas","Halomonas","Halomonas",1,""
"Fusobacterium",-0.0311005680343493,0.00400895947592867,-7.7577656299818,8.64386994889884e-15,1.67938044721463e-14,TRUE,"Fusobacterium","Fusobacterium","Fusobacterium",1,""
"Haemophilus",-0.0606292734637947,0.00793871208648292,-7.63716744017293,2.22052647568315e-14,4.19432778740151e-14,TRUE,"Haemophilus","Haemophilus","Haemophilus",1,""
"Anaerococcus",-0.0332172196020799,0.00436969619063032,-7.6017229008519,2.92213914933625e-14,5.37041789607742e-14,TRUE,"Anaerococcus","Anaerococcus","Anaerococcus",1,""
"Ruminococcus",0.0302634136577975,0.00399260752902442,7.57986189170771,3.45922995002644e-14,6.19020096320521e-14,TRUE,"Ruminococcus","Ruminococcus","Ruminococcus",1,""
"Peptoniphilus",-0.028590967096779,0.00385710061919776,-7.41255412277155,1.23889868232072e-13,2.16013103584126e-13,TRUE,"Peptoniphilus","Peptoniphilus","Peptoniphilus",1,""
