"","beta","se","W","p_val","q_val","diff_abn","genus","species","OGUs","diff_name_flag","diff_label"
"Staphylococcus",-0.197596416129808,0.0217482459085327,-9.08562543208524,1.03104176490527e-19,1.94752333370995e-19,TRUE,"Staphylococcus","Staphylococcus","Staphylococcus",1,""
"Ruminococcus",0.0339590251740447,0.00377346650988254,8.9994240269809,2.26904930115637e-19,4.17014466158469e-19,TRUE,"Ruminococcus","Ruminococcus","Ruminococcus",1,""
"Pseudoalteromonas",0.0322836233768041,0.00367827387564073,8.77684056932288,1.68131080409154e-18,3.00866143890065e-18,TRUE,"Pseudoalteromonas","Pseudoalteromonas","Pseudoalteromonas",1,""
"Selenomonas",0.0317236431032946,0.00369244276694593,8.5915057065417,8.58369449579498e-18,1.49664416849759e-17,TRUE,"Selenomonas","Selenomonas","Selenomonas",1,""
"Blautia",0.0314827094644488,0.00368687043800537,8.53914179894024,1.35222355923949e-17,2.29878005070714e-17,TRUE,"Blautia","Blautia","Blautia",1,""
"Rhizobium",-0.0271506854162253,0.00332177283610245,-8.17355272496061,2.99438413052091e-16,4.96629563110785e-16,TRUE,"Rhizobium","Rhizobium","Rhizobium",1,""
"Aggregatibacter",0.0299595190080173,0.0037543160170397,7.98002056087983,1.4630891693009e-15,2.36881103601098e-15,TRUE,"Aggregatibacter","Aggregatibacter","Aggregatibacter",1,""
"Brevundimonas",-0.0243903776083523,0.00313729395234398,-7.77433609309365,7.58441240741676e-15,1.19939545047521e-14,TRUE,"Brevundimonas","Brevundimonas","Brevundimonas",1,""
"Fusobacterium",-0.0269630179996447,0.00379038612435243,-7.11352804570834,1.13113486995365e-12,1.748117526292e-12,TRUE,"Fusobacterium","Fusobacterium","Fusobacterium",1,""
"Lactococcus",-0.0275900153507869,0.00395081024999188,-6.98338153568463,2.88158440468233e-12,4.35439421151996e-12,TRUE,"Lactococcus","Lactococcus","Lactococcus",1,""
"Anaerococcus",-0.0290644256110326,0.00416488068699912,-6.97845335684132,2.98447264850308e-12,4.41182913256978e-12,TRUE,"Anaerococcus","Anaerococcus","Anaerococcus",1,""
"Peptoniphilus",-0.024471491008544,0.00363174055070095,-6.73822666209481,1.60331325633665e-11,2.31968726448706e-11,TRUE,"Peptoniphilus","Peptoniphilus","Peptoniphilus",1,""
"Haemophilus",-0.0566837959556597,0.00881365601824135,-6.43136013458467,1.26467121585998e-10,1.79161755580164e-10,TRUE,"Haemophilus","Haemophilus","Haemophilus",1,""
"Escherichia",-0.204831078118989,0.0447684908305344,-4.57534025201679,4.75446637946383e-06,6.59803497558246e-06,TRUE,"Escherichia","Escherichia","Escherichia",1,""
"Bacillus",-0.158130572019625,0.0348375428267536,-4.53908511303469,5.64988288927417e-06,7.68384072941288e-06,TRUE,"Bacillus","Bacillus","Bacillus",1,""
"Leptotrichia",-0.0148205750335562,0.00342686129801487,-4.32482488921904,1.52653073487709e-05,2.03537431316945e-05,TRUE,"Leptotrichia","Leptotrichia","Leptotrichia",1,""
"Pseudomonas",-0.132426381091804,0.0325977498020938,-4.06243933694154,4.85625700620358e-05,6.3504899311893e-05,TRUE,"Pseudomonas","Pseudomonas","Pseudomonas",1,""
"Prevotella",-0.0906028608485276,0.0229654424413172,-3.94518246622254,7.97392353208226e-05,0.000102306943430489,TRUE,"Prevotella","Prevotella","Prevotella",1,""
"Gemella",-0.0125899209983796,0.00358744193775044,-3.50944244306691,0.000449047236792857,0.000565466890776191,TRUE,"Gemella","Gemella","Gemella",1,""
"Clostridium",-0.0518134932992658,0.0153667252691927,-3.371797985036,0.000746792034238371,0.000923306515058349,TRUE,"Clostridium","Clostridium","Clostridium",1,""
"Flavobacterium",-0.0588096520274509,0.0207769927147476,-2.83051800782062,0.00464726950220885,0.00559080596365976,TRUE,"Flavobacterium","Flavobacterium","Flavobacterium",1,""
"Treponema",0.0308941162883825,0.0109250107734134,2.82783394260488,0.00468641088130304,0.00559080596365976,TRUE,"Treponema","Treponema","Treponema",1,""
"Bifidobacterium",-0.00761881776615476,0.00339712012413236,-2.24272839574687,0.0249143343592757,0.029209909248806,TRUE,"Bifidobacterium","Bifidobacterium","Bifidobacterium",1,""
"Geobacillus",0.0125394172036143,0.00660395545396048,1.89877374113634,0.057594231153906,0.0663797918384002,FALSE,"Geobacillus","Geobacillus","Geobacillus",0,""
"Hymenobacter",-0.00683613678247948,0.00375789465648398,-1.81914007905576,0.0688900617962174,0.0780754033690463,FALSE,"Hymenobacter","Hymenobacter","Hymenobacter",0,""
"Atopobium",0.00550757954916865,0.00362504840464807,1.519312002043,0.128683980095518,0.14345099420484,FALSE,"Atopobium","Atopobium","Atopobium",0,""
"Finegoldia",-0.00472486572662558,0.00355639443465875,-1.32855503331676,0.183994815701252,0.201800765607824,FALSE,"Finegoldia","Finegoldia","Finegoldia",0,""
"Aerococcus",0.00456743746110062,0.00355693732500888,1.28409275839271,0.19910950156395,0.214911842957914,FALSE,"Aerococcus","Aerococcus","Aerococcus",0,""
"Devosia",0.00432236736133039,0.00344446436286185,1.25487359019709,0.20952465259417,0.222619943381306,FALSE,"Devosia","Devosia","Devosia",0,""
"Mycobacterium",-0.0422982769223381,0.0484546318424014,-0.872945997400479,0.382692513175393,0.400355244552719,FALSE,"Mycobacterium","Mycobacterium","Mycobacterium",0,""
"Porphyromonas",-0.00271825446659046,0.00322053287341713,-0.844038726953368,0.398647765243283,0.410728000553685,FALSE,"Porphyromonas","Porphyromonas","Porphyromonas",0,""
"Capnocytophaga",-0.00343333606440234,0.00681973119664475,-0.503441552959083,0.61465386308121,0.623827801336154,FALSE,"Capnocytophaga","Capnocytophaga","Capnocytophaga",0,""
"Enterobacter",0.0193372690556357,0.0465494926468827,0.415413100252782,0.677839518223977,0.677839518223977,FALSE,"Enterobacter","Enterobacter","Enterobacter",0,""
