Feature ID	Taxon
Actinomyces	Actinomyces
Mobiluncus	Mobiluncus
Alloscardovia	Alloscardovia
Bifidobacterium	Bifidobacterium
Gardnerella	Gardnerella
Scardovia	Scardovia
Corynebacterium	Corynebacterium
Dietzia	Dietzia
Gordonia	Gordonia
Mycobacterium	Mycobacterium
Rhodococcus	Rhodococcus
Williamsia	Williamsia
Blastococcus	Blastococcus
Modestobacter	Modestobacter
Brevibacterium	Brevibacterium
Cellulomonas	Cellulomonas
Brachybacterium	Brachybacterium
Janibacter	Janibacter
Ornithinimicrobium	Ornithinimicrobium
Agromyces	Agromyces
Curtobacterium	Curtobacterium
Arthrobacter	Arthrobacter
Kocuria	Kocuria
Micrococcus	Micrococcus
Nesterenkonia	Nesterenkonia
Rothia	Rothia
Marmoricola	Marmoricola
Nocardioides	Nocardioides
Propionibacterium	Propionibacterium
Propionimicrobium	Propionimicrobium
Tessaracoccus	Tessaracoccus
Pseudonocardia	Pseudonocardia
Streptomyces	Streptomyces
Microbispora	Microbispora
Atopobium	Atopobium
Collinsella	Collinsella
Eggerthella	Eggerthella
Bacteroides	Bacteroides
Butyricimonas	Butyricimonas
Odoribacter	Odoribacter
Barnesiella	Barnesiella
Paludibacter	Paludibacter
Parabacteroides	Parabacteroides
Porphyromonas	Porphyromonas
Tannerella	Tannerella
Prevotella	Prevotella
Alistipes	Alistipes
Adhaeribacter	Adhaeribacter
Hymenobacter	Hymenobacter
Capnocytophaga	Capnocytophaga
Chryseobacterium	Chryseobacterium
Flavobacterium	Flavobacterium
Myroides	Myroides
Salinimicrobium	Salinimicrobium
Sphaerobacter	Sphaerobacter
Deinococcus	Deinococcus
Anoxybacillus	Anoxybacillus
Bacillus	Bacillus
Geobacillus	Geobacillus
Lysinibacillus	Lysinibacillus
Paenibacillus	Paenibacillus
Planomicrobium	Planomicrobium
Solibacillus	Solibacillus
Jeotgalicoccus	Jeotgalicoccus
Salinicoccus	Salinicoccus
Staphylococcus	Staphylococcus
Exiguobacterium	Exiguobacterium
Gemella	Gemella
Aerococcus	Aerococcus
Facklamia	Facklamia
Alkalibacterium	Alkalibacterium
Alloiococcus	Alloiococcus
Granulicatella	Granulicatella
Enterococcus	Enterococcus
Lactobacillus	Lactobacillus
Leuconostoc	Leuconostoc
Weissella	Weissella
Lactococcus	Lactococcus
Streptococcus	Streptococcus
Butyricicoccus	Butyricicoccus
Clostridium	Clostridium
Anaerovorax	Anaerovorax
Mogibacterium	Mogibacterium
Eubacterium	Eubacterium
Anaerostipes	Anaerostipes
Blautia	Blautia
Catonella	Catonella
Coprococcus	Coprococcus
Dorea	Dorea
Lachnoanaerobaculum	Lachnoanaerobaculum
Lachnobacterium	Lachnobacterium
Oribacterium	Oribacterium
Roseburia	Roseburia
Oscillibacter	Oscillibacter
Peptostreptococcus	Peptostreptococcus
Acetivibrio	Acetivibrio
Ethanoligenens	Ethanoligenens
Faecalibacterium	Faecalibacterium
Ruminococcus	Ruminococcus
Flavonifractor	Flavonifractor
Bulleidia	Bulleidia
Holdemania	Holdemania
Solobacterium	Solobacterium
Turicibacter	Turicibacter
Phascolarctobacterium	Phascolarctobacterium
Selenomonas	Selenomonas
Dialister	Dialister
Megasphaera	Megasphaera
Veillonella	Veillonella
Anaerococcus	Anaerococcus
Finegoldia	Finegoldia
Parvimonas	Parvimonas
Peptoniphilus	Peptoniphilus
Fusobacterium	Fusobacterium
Leptotrichia	Leptotrichia
Brevundimonas	Brevundimonas
Devosia	Devosia
Methylobacterium	Methylobacterium
Agrobacterium	Agrobacterium
Rhizobium	Rhizobium
Afifella	Afifella
Paracoccus	Paracoccus
Rhodobacter	Rhodobacter
Rubellimicrobium	Rubellimicrobium
Belnapia	Belnapia
Gluconacetobacter	Gluconacetobacter
Roseomonas	Roseomonas
Azospirillum	Azospirillum
Skermanella	Skermanella
Rickettsia	Rickettsia
Novosphingobium	Novosphingobium
Sphingobium	Sphingobium
Achromobacter	Achromobacter
Alcaligenes	Alcaligenes
Lautropia	Lautropia
Acidovorax	Acidovorax
Comamonas	Comamonas
Diaphorobacter	Diaphorobacter
Hydrogenophaga	Hydrogenophaga
Janthinobacterium	Janthinobacterium
Massilia	Massilia
Noviherbaspirillum	Noviherbaspirillum
Sutterella	Sutterella
Tepidimonas	Tepidimonas
Conchiformibius	Conchiformibius
Eikenella	Eikenella
Kingella	Kingella
Neisseria	Neisseria
Bilophila	Bilophila
Desulfovibrio	Desulfovibrio
Arcobacter	Arcobacter
Campylobacter	Campylobacter
Aeromonas	Aeromonas
Alishewanella	Alishewanella
Pseudoalteromonas	Pseudoalteromonas
Shewanella	Shewanella
Cardiobacterium	Cardiobacterium
Rheinheimera	Rheinheimera
Citrobacter	Citrobacter
Enterobacter	Enterobacter
Erwinia	Erwinia
Escherichia	Escherichia
Klebsiella	Klebsiella
Morganella	Morganella
Pantoea	Pantoea
Proteus	Proteus
Serratia	Serratia
Shigella	Shigella
Alcanivorax	Alcanivorax
Halomonas	Halomonas
Actinobacillus	Actinobacillus
Aggregatibacter	Aggregatibacter
Haemophilus	Haemophilus
Acinetobacter	Acinetobacter
Alkanindiges	Alkanindiges
Moraxella	Moraxella
Pseudomonas	Pseudomonas
Luteimonas	Luteimonas
Lysobacter	Lysobacter
Pseudoxanthomonas	Pseudoxanthomonas
Stenotrophomonas	Stenotrophomonas
Thermomonas	Thermomonas
Treponema	Treponema
Akkermansia	Akkermansia
