"","diseaseType","sampleType","datasetName","metadataName","minorityClassSize","majorityClassSize","minorityClassName","majorityClassName","aucroc","aupr"
"106","Prostate Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",136,1952,"Prostate Adenocarcinoma","OtherCancerType",0.974145299145299,0.634866464043299
"107","Rectum Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",60,2028,"Rectum Adenocarcinoma","OtherCancerType",0.968384502923977,0.430433234921669
"108","Sarcoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",40,2048,"Sarcoma","OtherCancerType",0.998914223669924,0.949722892924893
"109","Skin Cutaneous Melanoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",158,1685,"Skin Cutaneous Melanoma","OtherCancerType",0.930482409943122,0.610686705819611
"110","Prostate Adenocarcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",52,496,"SolidTissueNormal","PrimaryTumor",1,1
"111","Thyroid Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",150,1938,"Thyroid Carcinoma","OtherCancerType",0.95027729967489,0.643324997794414
"112","Uterine Corpus Endometrial Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",158,1930,"Uterine Corpus Endometrial Carcinoma","OtherCancerType",0.959578142799397,0.785334009809767
"113","Stomach Adenocarcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",70,690,"SolidTissueNormal","PrimaryTumor",0.962962962962963,0.995307433510589
"114","Thyroid Carcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",59,505,"SolidTissueNormal","PrimaryTumor",1,1
"115","Adrenocortical Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",79,9397,"Adrenocortical Carcinoma","OtherCancerType",0.713666579268011,0.0252875509342275
"116","Bladder Urothelial Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",408,9068,"Bladder Urothelial Carcinoma","OtherCancerType",0.651203893442623,0.0645731311063072
"117","Brain Lower Grade Glioma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",514,8962,"Brain Lower Grade Glioma","OtherCancerType",0.693834067717996,0.0964092075605005
"118","Breast Invasive Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",1082,8394,"Breast Invasive Carcinoma","OtherCancerType",0.696005427588033,0.228058169390969
"119","Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",304,9172,"Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma","OtherCancerType",0.692030070983179,0.0602732535575645
"120","Cholangiocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",36,9440,"Cholangiocarcinoma","OtherCancerType",0.748199152542373,0.00749194320401901
"121","Colon Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",278,9198,"Colon Adenocarcinoma","OtherCancerType",0.634239749865719,0.0393348604426945
"122","Esophageal Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",184,9292,"Esophageal Carcinoma","OtherCancerType",0.995198486479434,0.87511577271194
"123","Glioblastoma Multiforme","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",155,9321,"Glioblastoma Multiforme","OtherCancerType",0.999852273434098,0.992817028737411
"124","Kidney Chromophobe","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",66,9410,"Kidney Chromophobe","OtherCancerType",0.55095363275351,0.0070266665485553
"125","Kidney Renal Clear Cell Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",972,8504,"Kidney Renal Clear Cell Carcinoma","OtherCancerType",0.824178510953861,0.612513904068653
"126","Kidney Renal Papillary Cell Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",284,9192,"Kidney Renal Papillary Cell Carcinoma","OtherCancerType",0.713266764812563,0.0545547137730271
"127","Liver Hepatocellular Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",362,9114,"Liver Hepatocellular Carcinoma","OtherCancerType",0.753088677558319,0.0883189707196148
"128","Lung Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",495,8981,"Lung Adenocarcinoma","OtherCancerType",0.699445966010554,0.0969315501255299
"129","Lung Squamous Cell Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",489,8987,"Lung Squamous Cell Carcinoma","OtherCancerType",0.636394353888053,0.0684568005489509
"130","Lymphoid Neoplasm Diffuse Large B-cell Lymphoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",47,9429,"Lymphoid Neoplasm Diffuse Large B-cell Lymphoma","OtherCancerType",0.53307486360881,0.00477667831922371
"131","Mesothelioma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",86,9390,"Mesothelioma","OtherCancerType",0.758722044728435,0.0211523682711446
"132","Ovarian Serous Cystadenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",829,8647,"Ovarian Serous Cystadenocarcinoma","OtherCancerType",0.998352276966697,0.9855989508837
"133","Pancreatic Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",178,9298,"Pancreatic Adenocarcinoma","OtherCancerType",0.634460177110887,0.0264241902839131
"134","Pheochromocytoma and Paraganglioma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",178,9298,"Pheochromocytoma and Paraganglioma","OtherCancerType",0.759094014896798,0.041006522384885
"135","Prostate Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",496,8980,"Prostate Adenocarcinoma","OtherCancerType",0.694383414594996,0.105773082240854
"136","Rectum Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",92,9384,"Rectum Adenocarcinoma","OtherCancerType",0.566140385500954,0.0124565655367234
"137","Skin Cutaneous Melanoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",102,9374,"Skin Cutaneous Melanoma","OtherCancerType",0.668521811284969,0.0162905921405982
"138","Stomach Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",690,8786,"Stomach Adenocarcinoma","OtherCancerType",0.991863524278342,0.904041752080276
"139","Testicular Germ Cell Tumors","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",134,9342,"Testicular Germ Cell Tumors","OtherCancerType",0.63081727337616,0.0232276375085961
"140","Thymoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",120,9356,"Thymoma","OtherCancerType",0.650530609012434,0.0192453616877766
"141","Thyroid Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",505,8971,"Thyroid Carcinoma","OtherCancerType",0.874114352231254,0.36381850314887
"142","Uterine Carcinosarcoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",57,9419,"Uterine Carcinosarcoma","OtherCancerType",0.601884435190005,0.00705159553806297
"143","Uterine Corpus Endometrial Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",174,9302,"Uterine Corpus Endometrial Carcinoma","OtherCancerType",0.656944444444444,0.0266275244822831
"144","Uveal Melanoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",80,9396,"Uveal Melanoma","OtherCancerType",0.77491424177904,0.0251675700159254
"145","Bladder Urothelial Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",124,1719,"Bladder Urothelial Carcinoma","OtherCancerType",0.952925741275256,0.707047830543863
"146","Brain Lower Grade Glioma","Blood Derived Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",91,1752,"Brain Lower Grade Glioma","OtherCancerType",0.971075837742504,0.689793128158455
"147","Breast Invasive Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",107,1736,"Breast Invasive Carcinoma","OtherCancerType",0.9890625,0.797478672287483
"148","Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",70,1773,"Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma","OtherCancerType",0.926284638149045,0.468094859139886
"149","Colon Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",109,1734,"Colon Adenocarcinoma","OtherCancerType",0.952584134615385,0.433584995304451
"150","Esophageal Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",48,1795,"Esophageal Carcinoma","OtherCancerType",0.991702071163038,0.622245537176256
"151","Glioblastoma Multiforme","Blood Derived Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",70,1773,"Glioblastoma Multiforme","OtherCancerType",0.988521208860192,0.813437062733911
"152","Head and Neck Squamous Cell Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",142,1701,"Head and Neck Squamous Cell Carcinoma","OtherCancerType",0.903454715219421,0.569266496720917
"153","Glioblastoma Multiforme","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",155,9321,"Glioblastoma Multiforme","OtherCancerType",0.999852273434098,0.992817028737411
"154","Kidney Chromophobe","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",66,9410,"Kidney Chromophobe","OtherCancerType",0.55095363275351,0.0070266665485553
"155","Kidney Renal Papillary Cell Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",34,1809,"Kidney Renal Papillary Cell Carcinoma","OtherCancerType",0.987453874538745,0.518140681257084
"156","Liver Hepatocellular Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",32,1811,"Liver Hepatocellular Carcinoma","OtherCancerType",0.98158379373849,0.427585018545615
"157","Lung Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",91,1752,"Lung Adenocarcinoma","OtherCancerType",0.980670194003527,0.872938386002172
"158","Lung Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",495,8981,"Lung Adenocarcinoma","OtherCancerType",0.699445966010554,0.0969315501255299
"159","Lung Squamous Cell Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",489,8987,"Lung Squamous Cell Carcinoma","OtherCancerType",0.636394353888053,0.0684568005489509
"160","Ovarian Serous Cystadenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",55,1788,"Ovarian Serous Cystadenocarcinoma","OtherCancerType",0.912313432835821,0.583178929041967
"161","Prostate Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",121,1722,"Prostate Adenocarcinoma","OtherCancerType",0.970768733850129,0.677151862693431
"162","Rectum Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",58,1785,"Rectum Adenocarcinoma","OtherCancerType",0.960417811984607,0.500439227984299
"163","Sarcoma","Blood Derived Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",36,1807,"Sarcoma","OtherCancerType",0.997232472324723,0.810645068333905
"164","Skin Cutaneous Melanoma","Blood Derived Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",158,1685,"Skin Cutaneous Melanoma","OtherCancerType",0.940594059405941,0.644909747762066
"165","Stomach Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",115,1728,"Stomach Adenocarcinoma","OtherCancerType",0.919827390415626,0.504054552987603
"166","Thyroid Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",137,1706,"Thyroid Carcinoma","OtherCancerType",0.950026251730228,0.691765289859112
"167","Uterine Corpus Endometrial Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",155,1688,"Uterine Corpus Endometrial Carcinoma","OtherCancerType",0.954459529128716,0.679880490949363
"168","Uveal Melanoma","Blood Derived Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",51,1792,"Uveal Melanoma","OtherCancerType",0.990316573556797,0.857524931553975
"169","Testicular Germ Cell Tumors","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",134,9342,"Testicular Germ Cell Tumors","OtherCancerType",0.63081727337616,0.0232276375085961
"170","Thymoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",120,9356,"Thymoma","OtherCancerType",0.650530609012434,0.0192453616877766
"171","Thyroid Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",505,8971,"Thyroid Carcinoma","OtherCancerType",0.874114352231254,0.36381850314887
"172","Uterine Carcinosarcoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",57,9419,"Uterine Carcinosarcoma","OtherCancerType",0.601884435190005,0.00705159553806297
"173","Uterine Corpus Endometrial Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",174,9302,"Uterine Corpus Endometrial Carcinoma","OtherCancerType",0.656944444444444,0.0266275244822831
"174","Uveal Melanoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",80,9396,"Uveal Melanoma","OtherCancerType",0.77491424177904,0.0251675700159254
"175","Bladder Urothelial Carcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",29,140,"SolidTissueNormal","PrimaryTumor",0.491071428571429,0.814282507876756
"176","Brain Lower Grade Glioma","Blood Derived Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",91,1752,"Brain Lower Grade Glioma","OtherCancerType",0.971075837742504,0.689793128158455
"177","Breast Invasive Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",107,1736,"Breast Invasive Carcinoma","OtherCancerType",0.9890625,0.797478672287483
"178","Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",70,1773,"Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma","OtherCancerType",0.926284638149045,0.468094859139886
"179","Colon Adenocarcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",25,131,"SolidTissueNormal","PrimaryTumor",0.688644688644689,0.876618929626852
"180","Esophageal Carcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",24,69,"SolidTissueNormal","PrimaryTumor",0.8,0.923147014065979
"181","Glioblastoma Multiforme","Blood Derived Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",70,1773,"Glioblastoma Multiforme","OtherCancerType",0.988521208860192,0.813437062733911
"182","Head and Neck Squamous Cell Carcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",24,167,"SolidTissueNormal","PrimaryTumor",0.934285714285714,0.990577053885425
"183","Kidney Chromophobe","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",41,50,"SolidTissueNormal","PrimaryTumor",0.883333333333333,0.862183492050915
"184","Kidney Renal Clear Cell Carcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",38,43,"SolidTissueNormal","PrimaryTumor",0.545454545454545,0.673145336999592
"185","Kidney Renal Papillary Cell Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",34,1809,"Kidney Renal Papillary Cell Carcinoma","OtherCancerType",0.987453874538745,0.518140681257084
"186","Liver Hepatocellular Carcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",22,54,"SolidTissueNormal","PrimaryTumor",0.78125,0.91898839095527
"187","Lung Adenocarcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",75,158,"SolidTissueNormal","PrimaryTumor",0.622823984526112,0.724295060065547
"188","Lung Squamous Cell Carcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",31,49,"SolidTissueNormal","PrimaryTumor",0.484126984126984,0.597544401974356
"189","Lung Squamous Cell Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",489,8987,"Lung Squamous Cell Carcinoma","OtherCancerType",0.636394353888053,0.0684568005489509
"190","Ovarian Serous Cystadenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",55,1788,"Ovarian Serous Cystadenocarcinoma","OtherCancerType",0.912313432835821,0.583178929041967
"191","Prostate Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",121,1722,"Prostate Adenocarcinoma","OtherCancerType",0.970768733850129,0.677151862693431
"192","Rectum Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",58,1785,"Rectum Adenocarcinoma","OtherCancerType",0.960417811984607,0.500439227984299
"193","Sarcoma","Blood Derived Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",36,1807,"Sarcoma","OtherCancerType",0.997232472324723,0.810645068333905
"194","Skin Cutaneous Melanoma","Blood Derived Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",158,1685,"Skin Cutaneous Melanoma","OtherCancerType",0.940594059405941,0.644909747762066
"195","Stomach Adenocarcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",43,160,"SolidTissueNormal","PrimaryTumor",0.774305555555556,0.926600919379129
"196","Thyroid Carcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",20,150,"SolidTissueNormal","PrimaryTumor",0.537037037037037,0.914110355972394
"197","Uterine Corpus Endometrial Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",155,1688,"Uterine Corpus Endometrial Carcinoma","OtherCancerType",0.954459529128716,0.679880490949363
"198","Uveal Melanoma","Blood Derived Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",51,1792,"Uveal Melanoma","OtherCancerType",0.990316573556797,0.857524931553975
"199","Testicular Germ Cell Tumors","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",134,9342,"Testicular Germ Cell Tumors","OtherCancerType",0.63081727337616,0.0232276375085961
"200","Thymoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",120,9356,"Thymoma","OtherCancerType",0.650530609012434,0.0192453616877766
"201","Thyroid Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",505,8971,"Thyroid Carcinoma","OtherCancerType",0.874114352231254,0.36381850314887
"202","Uterine Carcinosarcoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",57,9419,"Uterine Carcinosarcoma","OtherCancerType",0.601884435190005,0.00705159553806297
"203","Uterine Corpus Endometrial Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",174,9302,"Uterine Corpus Endometrial Carcinoma","OtherCancerType",0.656944444444444,0.0266275244822831
"204","Uveal Melanoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",80,9396,"Uveal Melanoma","OtherCancerType",0.77491424177904,0.0251675700159254
"205","Bladder Urothelial Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",140,1948,"Bladder Urothelial Carcinoma","OtherCancerType",0.991071428571429,0.904849778973181
"206","Brain Lower Grade Glioma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",91,1997,"Brain Lower Grade Glioma","OtherCancerType",0.973536140481049,0.714310755602472
"207","Breast Invasive Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",114,1974,"Breast Invasive Carcinoma","OtherCancerType",0.998310810810811,0.970144811990581
"208","Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",68,2020,"Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma","OtherCancerType",0.99236798679868,0.951968162515763
"209","Colon Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",131,1957,"Colon Adenocarcinoma","OtherCancerType",0.954396540427205,0.739195072573977
"210","Esophageal Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",69,2019,"Esophageal Carcinoma","OtherCancerType",0.980413223140496,0.724580693144851
"211","Glioblastoma Multiforme","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",70,2018,"Glioblastoma Multiforme","OtherCancerType",0.954663518299882,0.789169255614076
"212","Head and Neck Squamous Cell Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",167,1921,"Head and Neck Squamous Cell Carcinoma","OtherCancerType",0.967152777777778,0.854352775165343
"213","Kidney Chromophobe","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",50,2038,"Kidney Chromophobe","OtherCancerType",0.99683578832515,0.900844134073432
"214","Kidney Renal Clear Cell Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",43,2045,"Kidney Renal Clear Cell Carcinoma","OtherCancerType",0.999184339314845,0.961468815865646
"215","Kidney Renal Papillary Cell Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",37,2051,"Kidney Renal Papillary Cell Carcinoma","OtherCancerType",0.956836659275684,0.264219955786462
"216","Liver Hepatocellular Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",54,2034,"Liver Hepatocellular Carcinoma","OtherCancerType",0.992930327868852,0.802587201701571
"217","Lung Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",158,1930,"Lung Adenocarcinoma","OtherCancerType",0.985337889979054,0.836364851706885
"218","Lung Squamous Cell Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",49,2039,"Lung Squamous Cell Carcinoma","OtherCancerType",0.98936170212766,0.668614679978021
"219","Lung Squamous Cell Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",489,8987,"Lung Squamous Cell Carcinoma","OtherCancerType",0.636394353888053,0.0684568005489509
"220","Ovarian Serous Cystadenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",67,2021,"Ovarian Serous Cystadenocarcinoma","OtherCancerType",0.971617161716172,0.634908756746355
"221","Prostate Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",136,1952,"Prostate Adenocarcinoma","OtherCancerType",0.988547008547008,0.813813756339689
"222","Rectum Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",60,2028,"Rectum Adenocarcinoma","OtherCancerType",0.979440789473684,0.545183236375077
"223","Sarcoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",40,2048,"Sarcoma","OtherCancerType",0.998371335504886,0.908076010196449
"224","Skin Cutaneous Melanoma","Blood Derived Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",158,1685,"Skin Cutaneous Melanoma","OtherCancerType",0.940594059405941,0.644909747762066
