"","diseaseType","sampleType","datasetName","metadataName","minorityClassSize","majorityClassSize","minorityClassName","majorityClassName","aucroc","aupr"
"32","Liver Hepatocellular Carcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",22,54,"SolidTissueNormal","PrimaryTumor",0.677083333333333,0.845918508051901
"33","Lung Adenocarcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",75,158,"SolidTissueNormal","PrimaryTumor",0.501934235976789,0.696741260231114
"34","Lung Squamous Cell Carcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",31,49,"SolidTissueNormal","PrimaryTumor",0.531746031746032,0.64985561572174
"35","Ovarian Serous Cystadenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",55,1788,"Ovarian Serous Cystadenocarcinoma","OtherCancerType",0.849113805970149,0.558548838540503
"36","Prostate Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",121,1722,"Prostate Adenocarcinoma","OtherCancerType",0.955857019810508,0.591573879685657
"37","Rectum Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",58,1785,"Rectum Adenocarcinoma","OtherCancerType",0.962396921385377,0.396924355289558
"38","Sarcoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",36,1807,"Sarcoma","OtherCancerType",0.985424354243542,0.692852756803585
"39","Skin Cutaneous Melanoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",158,1685,"Skin Cutaneous Melanoma","OtherCancerType",0.930482409943122,0.610686705819611
"40","Stomach Adenocarcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",43,160,"SolidTissueNormal","PrimaryTumor",0.638888888888889,0.892954187807763
"41","Thyroid Carcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",20,150,"SolidTissueNormal","PrimaryTumor",0.403703703703704,0.871590096392909
