#input_bin	[u|k]_[S|G|F]GBid:taxa_level:taxonomy:avg_dist	top_hit_sp	top_hit_genome
25-1022	kSGB_50616:Species:k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae|t__SGB50616:0.239437	Streptococcus_pneumoniae	SGB50616
21-1019	kSGB_3444:Species:k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Chitinophaga|s__Chitinophaga_sp_YR573|t__SGB3444:0.405585	Chitinophaga_sp_YR573	SGB3444
9-1008	uSGB_18534:Other:k__Bacteria|p__Candidatus_Parcubacteria|c__CFGB3841|o__OFGB3841|f__FGB3841|g__GGB11789|s__GGB11789_SGB18534|t__SGB18534:0.405585	GGB11789_SGB18534	SGB18534
20-1018	kSGB_46452:Species:k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales|f__Chlamydiaceae|g__Chlamydia|s__Chlamydia_abortus|t__SGB46452:0.372583	Chlamydia_abortus	SGB46452
35-1031	uSGB_3588:Genus:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_SGB3588|t__SGB3588:0.32028999999999996	Treponema_SGB3588	SGB3588
37-1033	uSGB_47062:Family:k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__GGB39763|s__GGB39763_SGB47062|t__SGB47062:0.320287	GGB39763_SGB47062	SGB47062
39-1035	kSGB_24891:Species:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia_ilealis|t__SGB24891:0.9150835714285714	Romboutsia_ilealis	SGB24891
36-1032	kSGB_50616:Species:k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae|t__SGB50616:0.219531	Streptococcus_pneumoniae	SGB50616
5-1004	uSGB_50242:Other:k__Bacteria|p__Firmicutes|c__CFGB12522|o__OFGB12522|f__FGB12522|g__GGB35522|s__GGB35522_SGB50242|t__SGB50242:0.405585	GGB35522_SGB50242	SGB50242
34-1030	kSGB_3924:Species:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Mogibacterium|s__Mogibacterium_pumilum|t__SGB3924:0.248764	Mogibacterium_pumilum	SGB3924
40-1036	uSGB_19199:Other:k__Bacteria|p__Bacteria_unclassified|c__CFGB4160|o__OFGB4160|f__FGB4160|g__GGB12359|s__GGB12359_SGB19199|t__SGB19199:0.405585	GGB12359_SGB19199	SGB19199
38-1034	uSGB_37098:Other:k__Bacteria|p__Firmicutes|c__CFGB8186|o__OFGB8186|f__FGB8186|g__GGB25167|s__GGB25167_SGB37098|t__SGB37098:0.4055849999999999	GGB25167_SGB37098	SGB37098
45-1040	kSGB_2057:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_gingivalis|t__SGB2057:0.7718470379746836	Porphyromonas_gingivalis	SGB2057
43-1039	uSGB_3615:Genus:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_SGB3615|t__SGB3615:0.372583	Treponema_SGB3615	SGB3615
50-1045	uSGB_1463:Genus:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_SGB1463|t__SGB1463:0.3661486666666667	Alloprevotella_SGB1463	SGB1463
42-1038	kSGB_1464:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Prevotella_sp_oral_taxon_473|t__SGB1464:0.3208139333333334	Prevotella_sp_oral_taxon_473	SGB1464
47-1042	uSGB_48471:Family:k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB32380|s__GGB32380_SGB48471|t__SGB48471:0.372583	GGB32380_SGB48471	SGB48471
49-1044	uSGB_47055:Other:k__Bacteria|p__Firmicutes|c__CFGB11169|o__OFGB11169|f__FGB11169|g__GGB33129|s__GGB33129_SGB47055|t__SGB47055:0.247037	GGB33129_SGB47055	SGB47055
41-1037	uSGB_53837:Other:k__Bacteria|p__Actinobacteria|c__CFGB10662|o__OFGB10662|f__FGB10662|g__GGB32356|s__GGB32356_SGB53837|t__SGB53837:0.405585	GGB32356_SGB53837	SGB53837
46-1041	uSGB_48475:Family:k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__GGB36095|s__GGB36095_SGB48475|t__SGB48475:0.236445	GGB36095_SGB48475	SGB48475
31-1028	kSGB_1560:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_intermedia|t__SGB1560:0.233294421875	Prevotella_intermedia	SGB1560
54-1049	kSGB_17286:Species:k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_magnum|t__SGB17286:0.287309	Bifidobacterium_magnum	SGB17286
48-1043	uSGB_6557:Other:k__Bacteria|p__Fusobacteria|c__CFGB1781|o__OFGB1781|f__FGB1781|g__GGB4733|s__GGB4733_SGB6557|t__SGB6557:0.2944696666666667	GGB4733_SGB6557	SGB6557
51-1046	kSGB_15486:Species:k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus|s__Mobiluncus_mulieris|t__SGB15486:0.39079699999999995	Mobiluncus_mulieris	SGB15486
64-1058	kSGB_50617:Species:k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae|t__SGB50617:0.119752	Streptococcus_pneumoniae	SGB50617
56-1050	kSGB_3613:Species:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_denticola|t__SGB3613:0.31896656	Treponema_denticola	SGB3613
53-1048	uSGB_6835:Genus:k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Solobacterium|s__Solobacterium_SGB6835|t__SGB6835:0.320287	Solobacterium_SGB6835	SGB6835
52-1047	uSGB_48293:Family:k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales|f__Prochloraceae|g__GGB34027|s__GGB34027_SGB48293|t__SGB48293:0.372583	GGB34027_SGB48293	SGB48293
57-1051	kSGB_50616:Species:k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae|t__SGB50616:0.217089	Streptococcus_pneumoniae	SGB50616
59-1053	uSGB_17886:Other:k__Bacteria|p__Bacteroidetes|c__CFGB3464|o__OFGB3464|f__FGB3464|g__GGB11175|s__GGB11175_SGB17886|t__SGB17886:0.405585	GGB11175_SGB17886	SGB17886
82-1074	uSGB_4492:Genus:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoanaerobaculum|s__Lachnoanaerobaculum_SGB4492|t__SGB4492:0.312952	Lachnoanaerobaculum_SGB4492	SGB4492
60-1054	uSGB_1546:Genus:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_SGB1546|t__SGB1546:0.328965	Prevotella_SGB1546	SGB1546
62-1056	uSGB_3604:Genus:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_SGB3604|t__SGB3604:0.35328	Treponema_SGB3604	SGB3604
66-105	kSGB_46450:Species:k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_tuberculosis|t__SGB46450:0.348541	Mycobacterium_tuberculosis	SGB46450
79-1071	uSGB_58172:Other:k__Bacteria|p__Proteobacteria|c__CFGB14494|o__OFGB14494|f__FGB14494|g__GGB40060|s__GGB40060_SGB58172|t__SGB58172:0.260703	GGB40060_SGB58172	SGB58172
72-1065	kSGB_3583:Species:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_socranskii|t__SGB3583:0.372583	Treponema_socranskii	SGB3583
44-103	kSGB_46452:Species:k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales|f__Chlamydiaceae|g__Chlamydia|s__Chlamydia_abortus|t__SGB46452:0.320287	Chlamydia_abortus	SGB46452
78-1070	uSGB_58008:Family:k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria|o__Zetaproteobacteria_unclassified|f__Zetaproteobacteria_unclassified|g__GGB36048|s__GGB36048_SGB58008|t__SGB58008:0.300994	GGB36048_SGB58008	SGB58008
73-1066	uSGB_19330:Genus:k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter|s__Campylobacter_SGB19330|t__SGB19330:0.405585	Campylobacter_SGB19330	SGB19330
67-1060	kSGB_3612:Species:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_denticola|t__SGB3612:0.328965	Treponema_denticola	SGB3612
65-1059	kSGB_1485:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_rava|t__SGB1485:0.372583	Alloprevotella_rava	SGB1485
