#input_bin	[u|k]_[S|G|F]GBid:taxa_level:taxonomy:avg_dist	top_hit_sp	top_hit_genome
144-112	kSGB_19315:Species:k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter|s__Campylobacter_rectus|t__SGB19315:0.032682775	Campylobacter_rectus	SGB19315
344-159	uSGB_46637:Other:k__Bacteria|p__Fusobacteria|c__CFGB11867|o__OFGB11867|f__FGB11867|g__GGB34467|s__GGB34467_SGB46637|t__SGB46637:0.339586	GGB34467_SGB46637	SGB46637
336-151	uSGB_44243:Other:k__Bacteria|p__Bacteria_unclassified|c__CFGB10171|o__OFGB10171|f__FGB10171|g__GGB30989|s__GGB30989_SGB44243|t__SGB44243:0.405585	GGB30989_SGB44243	SGB44243
309-127	uSGB_48641:Other:k__Bacteria|p__Firmicutes|c__CFGB12820|o__OFGB12820|f__FGB12820|g__GGB36269|s__GGB36269_SGB48641|t__SGB48641:0.372583	GGB36269_SGB48641	SGB48641
322-139	kSGB_34120:Species:k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae|g__Phycicoccus|s__Phycicoccus_jejuensis|t__SGB34120:0.164955	Phycicoccus_jejuensis	SGB34120
332-148	kSGB_24947:Species:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_oral_taxon_500|t__SGB24947:0.205675	Lachnospiraceae_bacterium_oral_taxon_500	SGB24947
330-146	uSGB_19761:Other:k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB4342|o__OFGB4342|f__FGB4342|g__GGB12759|s__GGB12759_SGB19761|t__SGB19761:0.405585	GGB12759_SGB19761	SGB19761
346-160	uSGB_45033:Other:k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB31685|s__GGB31685_SGB45033|t__SGB45033:0.405585	GGB31685_SGB45033	SGB45033
340-155	kSGB_46450:Species:k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_tuberculosis|t__SGB46450:0.372583	Mycobacterium_tuberculosis	SGB46450
328-144	kSGB_5438:Species:k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Candidatus_Carsonella|s__Candidatus_Carsonella_ruddii|t__SGB5438:0.35328	Candidatus_Carsonella_ruddii	SGB5438
342-157	uSGB_48447:Other:k__Bacteria|p__Bacteroidetes|c__CFGB12698|o__OFGB12698|f__FGB12698|g__GGB35907|s__GGB35907_SGB48447|t__SGB48447:0.188197	GGB35907_SGB48447	SGB48447
320-137	uSGB_6537:Other:k__Bacteria|p__Firmicutes|c__CFGB1780|o__OFGB1780|f__FGB1780|g__GGB4721|s__GGB4721_SGB6537|t__SGB6537:0.31832227272727276	GGB4721_SGB6537	SGB6537
325-141	uSGB_20629:Other:k__Bacteria|p__Firmicutes|c__CFGB2837|o__OFGB2837|f__FGB2837|g__GGB9076|s__GGB9076_SGB20629|t__SGB20629:0.263022	GGB9076_SGB20629	SGB20629
337-152	uSGB_3599:Other:k__Bacteria|p__Firmicutes|c__CFGB1021|o__OFGB1021|f__FGB1021|g__GGB2671|s__GGB2671_SGB3599|t__SGB3599:0.106604	GGB2671_SGB3599	SGB3599
310-128	uSGB_3585:Genus:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_SGB3585|t__SGB3585:0.32791	Treponema_SGB3585	SGB3585
177-115	kSGB_1411:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_tannerae|t__SGB1411:0.033785672727272724	Alloprevotella_tannerae	SGB1411
349-163	kSGB_46459:Species:k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Alcanivoracaceae|g__Alcanivorax|s__Alcanivorax_venustensis|t__SGB46459:0.26546	Alcanivorax_venustensis	SGB46459
244-121	uSGB_4505:Genus:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Catonella|s__Catonella_SGB4505|t__SGB4505:0.206387	Catonella_SGB4505	SGB4505
333-149	uSGB_13:Other:k__Bacteria|p__Tenericutes|c__CFGB10|o__OFGB10|f__FGB10|g__GGB13|s__GGB13_SGB13|t__SGB13:0.372583	GGB13_SGB13	SGB13
335-150	kSGB_3612:Species:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_denticola|t__SGB3612:0.19095099999999998	Treponema_denticola	SGB3612
288-125	uSGB_48695:Other:k__Bacteria|p__Firmicutes|c__CFGB13878|o__OFGB13878|f__FGB13878|g__GGB38062|s__GGB38062_SGB48695|t__SGB48695:0.0400645	GGB38062_SGB48695	SGB48695
350-164	uSGB_1538:Family:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB1188|s__GGB1188_SGB1538|t__SGB1538:0.0933236	GGB1188_SGB1538	SGB1538
354-168	uSGB_1319:Other:k__Bacteria|p__Bacteroidetes|c__CFGB496|o__OFGB496|f__FGB496|g__GGB1025|s__GGB1025_SGB1319|t__SGB1319:0.1897685555555556	GGB1025_SGB1319	SGB1319
343-158	uSGB_1553:Genus:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_SGB1553|t__SGB1553:0.0825436	Prevotella_SGB1553	SGB1553
222-11	kSGB_9648:Species:k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_influenzae|t__SGB9648:0.023147517894736843	Haemophilus_influenzae	SGB9648
348-162	uSGB_46639:Genus:k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_unclassified|g__Burkholderiales_unclassified|s__Burkholderiales_unclassified_SGB46639|t__SGB46639:0.320287	Burkholderiales_unclassified_SGB46639	SGB46639
361-174	kSGB_46452:Species:k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales|f__Chlamydiaceae|g__Chlamydia|s__Chlamydia_abortus|t__SGB46452:0.35328	Chlamydia_abortus	SGB46452
365-178	uSGB_58512:Other:k__Bacteria|p__Bacteroidetes|c__CFGB15034|o__OFGB15034|f__FGB15034|g__GGB41450|s__GGB41450_SGB58512|t__SGB58512:0.295981	GGB41450_SGB58512	SGB58512
363-176	kSGB_1974:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_uenonis|t__SGB1974:0.31101987499999995	Porphyromonas_uenonis	SGB1974
364-177	uSGB_45342:Other:k__Bacteria|p__Proteobacteria|c__CFGB12941|o__OFGB12941|f__FGB12941|g__GGB36450|s__GGB36450_SGB45342|t__SGB45342:0.405585	GGB36450_SGB45342	SGB45342
366-179	kSGB_51281:Species:k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales|f__Prochloraceae|g__Prochlorococcus|s__Prochlorococcus_sp_scB243_495I8|t__SGB51281:0.405585	Prochlorococcus_sp_scB243_495I8	SGB51281
355-169	uSGB_6046:Family:k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__GGB4392|s__GGB4392_SGB6046|t__SGB6046:0.0540027	GGB4392_SGB6046	SGB6046
319-136	kSGB_7038:Species:k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_gasseri|t__SGB7038:0.05326800363636364	Lactobacillus_gasseri	SGB7038
371-183	uSGB_53455:Genus:k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Kineosporiales|f__Kineosporiaceae|g__Kineosporia|s__Kineosporia_SGB53455|t__SGB53455:0.287309	Kineosporia_SGB53455	SGB53455
321-138	uSGB_2054:Genus:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Tannerella|s__Tannerella_SGB2054|t__SGB2054:0.0594032	Tannerella_SGB2054	SGB2054
341-156	kSGB_1547:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_F0091|t__SGB1547:0.05343545	Prevotella_sp_F0091	SGB1547
374-186	uSGB_19498:Other:k__Bacteria|p__Proteobacteria|c__CFGB4233|o__OFGB4233|f__FGB4233|g__GGB12548|s__GGB12548_SGB19498|t__SGB19498:0.405585	GGB12548_SGB19498	SGB19498
369-181	kSGB_6791:Species:k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalicoccus|s__Faecalicoccus_pleomorphus|t__SGB6791:0.9542757692307693	Faecalicoccus_pleomorphus	SGB6791
376-188	uSGB_21737:Family:k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__GGB14254|s__GGB14254_SGB21737|t__SGB21737:0.4055849999999999	GGB14254_SGB21737	SGB21737
233-120	kSGB_1411:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_tannerae|t__SGB1411:0.03516903636363636	Alloprevotella_tannerae	SGB1411
379-190	kSGB_51281:Species:k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales|f__Prochloraceae|g__Prochlorococcus|s__Prochlorococcus_sp_scB243_495I8|t__SGB51281:0.372583	Prochlorococcus_sp_scB243_495I8	SGB51281
331-147	kSGB_3584:Species:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_socranskii|t__SGB3584:0.116674	Treponema_socranskii	SGB3584
380-191	kSGB_13527:Species:k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Pleurocapsales|f__Dermocarpellaceae|g__Stanieria|s__Stanieria_cyanosphaera|t__SGB13527:0.405585	Stanieria_cyanosphaera	SGB13527
339-154	kSGB_6011:Species:k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_nucleatum|t__SGB6011:0.03436836153846154	Fusobacterium_nucleatum	SGB6011
299-126	kSGB_8027:Species:k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_anginosus|t__SGB8027:0.02806535357142857	Streptococcus_anginosus	SGB8027
327-143	uSGB_6013:Genus:k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_SGB6013|t__SGB6013:0.025646366666666667	Fusobacterium_SGB6013	SGB6013
375-187	kSGB_19315:Species:k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter|s__Campylobacter_rectus|t__SGB19315:0.1439305	Campylobacter_rectus	SGB19315
347-161	uSGB_41030:Other:k__Bacteria|p__Firmicutes|c__CFGB9523|o__OFGB9523|f__FGB9523|g__GGB28447|s__GGB28447_SGB41030|t__SGB41030:0.31116099999999997	GGB28447_SGB41030	SGB41030
382-193	kSGB_28833:Species:k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Buchnera|s__Buchnera_aphidicola|t__SGB28833:0.405585	Buchnera_aphidicola	SGB28833
362-175	kSGB_3583:Species:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_socranskii|t__SGB3583:0.0637124	Treponema_socranskii	SGB3583
368-180	kSGB_6622:Species:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptoanaerobacter|s__Eubacterium_yurii|t__SGB6622:0.09102446153846154	Eubacterium_yurii	SGB6622
326-142	uSGB_3588:Genus:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_SGB3588|t__SGB3588:0.2229735	Treponema_SGB3588	SGB3588
385-196	kSGB_27874:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Metaprevotella|s__Metaprevotella_massiliensis|t__SGB27874:0.372583	Metaprevotella_massiliensis	SGB27874
387-198	uSGB_13884:Family:k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__GGB9009|s__GGB9009_SGB13884|t__SGB13884:0.405585	GGB9009_SGB13884	SGB13884
370-182	kSGB_9434:Species:k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Eikenella|s__Eikenella_corrodens|t__SGB9434:0.12314472727272725	Eikenella_corrodens	SGB9434
316-133	kSGB_46452:Species:k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales|f__Chlamydiaceae|g__Chlamydia|s__Chlamydia_abortus|t__SGB46452:0.312952	Chlamydia_abortus	SGB46452
356-16	kSGB_6936:Species:k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_atypica|t__SGB6936:0.03308490495049505	Veillonella_atypica	SGB6936
389-19	kSGB_50734:Species:k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__SGB50734:0.119153	Escherichia_coli	SGB50734
388-199	uSGB_48295:Genus:k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales|f__Prochloraceae|g__Prochlorococcus|s__Prochlorococcus_SGB48295|t__SGB48295:0.372583	Prochlorococcus_SGB48295	SGB48295
338-153	kSGB_3589:Species:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_maltophilum|t__SGB3589:0.039670375	Treponema_maltophilum	SGB3589
383-194	uSGB_5287:Genus:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium_SGB5287|t__SGB5287:0.11978	Oribacterium_SGB5287	SGB5287
317-134	kSGB_6001:Species:k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_nucleatum|t__SGB6001:0.03963193333333333	Fusobacterium_nucleatum	SGB6001
313-130	uSGB_3607:Genus:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_SGB3607|t__SGB3607:0.02583496	Treponema_SGB3607	SGB3607
318-135	kSGB_2016:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_endodontalis|t__SGB2016:0.03314330294117647	Porphyromonas_endodontalis	SGB2016
393-202	uSGB_1:Other:k__Bacteria|p__Firmicutes|c__CFGB1|o__OFGB1|f__FGB1|g__GGB1|s__GGB1_SGB1|t__SGB1:1.0	GGB1_SGB1	SGB1
351-165	uSGB_6017:Genus:k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_SGB6017|t__SGB6017:0.0490279	Fusobacterium_SGB6017	SGB6017
399-208	kSGB_732:Species:k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces|s__Saccharomyces_cerevisiae|t__SGB732:0.2959563966942148	Saccharomyces_cerevisiae	SGB732
400-209	uSGB_25583:Other:k__Archaea|p__Euryarchaeota|c__CFGB5677|o__OFGB5677|f__FGB5677|g__GGB16983|s__GGB16983_SGB25583|t__SGB25583:0.405585	GGB16983_SGB25583	SGB25583
378-18	kSGB_13563:Species:k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Oceanospirillaceae|g__Marinomonas|s__Marinomonas_aquimarina|t__SGB13563:0.160198	Marinomonas_aquimarina	SGB13563
397-206	uSGB_19277:Family:k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__GGB12429|s__GGB12429_SGB19277|t__SGB19277:0.405585	GGB12429_SGB19277	SGB19277
392-201	kSGB_6054:Species:k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_wadei|t__SGB6054:0.15572645454545453	Leptotrichia_wadei	SGB6054
398-207	uSGB_1455:Family:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB1138|s__GGB1138_SGB1455|t__SGB1455:0.153148	GGB1138_SGB1455	SGB1455
377-189	uSGB_47058:Other:k__Bacteria|p__Firmicutes|c__CFGB10973|o__OFGB10973|f__FGB10973|g__GGB32870|s__GGB32870_SGB47058|t__SGB47058:0.0923321	GGB32870_SGB47058	SGB47058
391-200	kSGB_4608:Species:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques|t__SGB4608:0.10221068189262968	Ruminococcus_torques	SGB4608
396-205	uSGB_1316:Other:k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB494|o__OFGB494|f__FGB494|g__GGB1022|s__GGB1022_SGB1316|t__SGB1316:0.14999	GGB1022_SGB1316	SGB1316
394-203	uSGB_2015:Genus:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_SGB2015|t__SGB2015:0.26248	Porphyromonas_SGB2015	SGB2015
372-184	kSGB_3612:Species:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_denticola|t__SGB3612:0.06310194999999999	Treponema_denticola	SGB3612
386-197	uSGB_5935:Family:k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__GGB4333|s__GGB4333_SGB5935|t__SGB5935:0.03729445	GGB4333_SGB5935	SGB5935
311-129	kSGB_4503:Species:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Catonella|s__Catonella_morbi|t__SGB4503:0.27607525	Catonella_morbi	SGB4503
415-222	kSGB_27874:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Metaprevotella|s__Metaprevotella_massiliensis|t__SGB27874:0.339586	Metaprevotella_massiliensis	SGB27874
360-173	kSGB_9737:Species:k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Aggregatibacter|s__Aggregatibacter_segnis|t__SGB9737:0.04055582857142857	Aggregatibacter_segnis	SGB9737
411-219	uSGB_47535:Other:k__Bacteria|p__Bacteroidetes|c__CFGB11770|o__OFGB11770|f__FGB11770|g__GGB34287|s__GGB34287_SGB47535|t__SGB47535:0.372583	GGB34287_SGB47535	SGB47535
404-212	kSGB_5989:Species:k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_periodonticum|t__SGB5989:0.1434541860465116	Fusobacterium_periodonticum	SGB5989
414-221	kSGB_46452:Species:k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales|f__Chlamydiaceae|g__Chlamydia|s__Chlamydia_abortus|t__SGB46452:0.35328	Chlamydia_abortus	SGB46452
409-217	kSGB_1934:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis|t__SGB1934:0.1760363399823995	Parabacteroides_distasonis	SGB1934
405-213	kSGB_1525:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_oris|t__SGB1525:0.15771357142857143	Prevotella_oris	SGB1525
421-228	uSGB_11963:Other:k__Bacteria|p__Proteobacteria|c__CFGB2571|o__OFGB2571|f__FGB2571|g__GGB8032|s__GGB8032_SGB11963|t__SGB11963:0.405585	GGB8032_SGB11963	SGB11963
417-224	kSGB_6011:Species:k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_nucleatum|t__SGB6011:0.18272746153846156	Fusobacterium_nucleatum	SGB6011
422-229	uSGB_6829:Genus:k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Solobacterium|s__Solobacterium_SGB6829|t__SGB6829:0.19553099999999998	Solobacterium_SGB6829	SGB6829
426-232	uSGB_47268:Other:k__Bacteria|p__Firmicutes|c__CFGB11126|o__OFGB11126|f__FGB11126|g__GGB33082|s__GGB33082_SGB47268|t__SGB47268:0.258493	GGB33082_SGB47268	SGB47268
424-230	uSGB_47027:Other:k__Bacteria|p__Firmicutes|c__CFGB14831|o__OFGB14831|f__FGB14831|g__GGB40887|s__GGB40887_SGB47027|t__SGB47027:0.224525	GGB40887_SGB47027	SGB47027
324-140	kSGB_3583:Species:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_socranskii|t__SGB3583:0.06282114999999999	Treponema_socranskii	SGB3583
359-172	kSGB_1560:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_intermedia|t__SGB1560:0.034689271875	Prevotella_intermedia	SGB1560
425-231	uSGB_1819:Family:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__GGB1355|s__GGB1355_SGB1819|t__SGB1819:0.4055849999999999	GGB1355_SGB1819	SGB1819
367-17	kSGB_7295:Species:k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_morbillorum|t__SGB7295:0.03325225714285714	Gemella_morbillorum	SGB7295
420-227	uSGB_3615:Genus:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_SGB3615|t__SGB3615:0.227796	Treponema_SGB3615	SGB3615
401-20	kSGB_6891:Species:k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__candidate_division_SR1_bacterium_MGEHA|t__SGB6891:0.050368452	candidate_division_SR1_bacterium_MGEHA	SGB6891
314-131	kSGB_4503:Species:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Catonella|s__Catonella_morbi|t__SGB4503:0.09018870000000001	Catonella_morbi	SGB4503
410-218	kSGB_1560:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_intermedia|t__SGB1560:0.15479614062499997	Prevotella_intermedia	SGB1560
277-124	kSGB_9712:Species:k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae|t__SGB9712:0.05568222197802199	Haemophilus_parainfluenzae	SGB9712
416-223	uSGB_26863:Genus:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_SGB26863|t__SGB26863:0.10284513333333332	Ruminococcus_SGB26863	SGB26863
430-236	kSGB_21257:Species:k__Eukaryota|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales|f__Malasseziaceae|g__Malassezia|s__Malassezia_restricta|t__SGB21257:0.258493	Malassezia_restricta	SGB21257
428-234	kSGB_50743:Species:k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_cholerae|t__SGB50743:0.142547	Vibrio_cholerae	SGB50743
432-238	uSGB_5357:Other:k__Bacteria|p__Proteobacteria|c__CFGB1571|o__OFGB1571|f__FGB1571|g__GGB3954|s__GGB3954_SGB5357|t__SGB5357:0.372583	GGB3954_SGB5357	SGB5357
413-220	kSGB_4503:Species:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Catonella|s__Catonella_morbi|t__SGB4503:0.10811645	Catonella_morbi	SGB4503
437-242	uSGB_4489:Genus:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoanaerobaculum|s__Lachnoanaerobaculum_SGB4489|t__SGB4489:0.218593	Lachnoanaerobaculum_SGB4489	SGB4489
433-239	uSGB_1:Other:k__Bacteria|p__Firmicutes|c__CFGB1|o__OFGB1|f__FGB1|g__GGB1|s__GGB1_SGB1|t__SGB1:1.0	GGB1_SGB1	SGB1
435-240	uSGB_1:Other:k__Bacteria|p__Firmicutes|c__CFGB1|o__OFGB1|f__FGB1|g__GGB1|s__GGB1_SGB1|t__SGB1:1.0	GGB1_SGB1	SGB1
431-237	uSGB_46639:Genus:k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_unclassified|g__Burkholderiales_unclassified|s__Burkholderiales_unclassified_SGB46639|t__SGB46639:0.320287	Burkholderiales_unclassified_SGB46639	SGB46639
373-185	kSGB_4479:Species:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_oral_taxon_096|t__SGB4479:0.01856717037037037	Lachnospiraceae_bacterium_oral_taxon_096	SGB4479
352-166	kSGB_3583:Species:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_socranskii|t__SGB3583:0.0556474	Treponema_socranskii	SGB3583
438-243	uSGB_1:Other:k__Bacteria|p__Firmicutes|c__CFGB1|o__OFGB1|f__FGB1|g__GGB1|s__GGB1_SGB1|t__SGB1:1.0	GGB1_SGB1	SGB1
436-241	kSGB_50718:Species:k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria_unclassified|f__Betaproteobacteria_unclassified|g__Betaproteobacteria_unclassified|s__beta_proteobacterium_JGI_0001002_P8|t__SGB50718:0.202933	beta_proteobacterium_JGI_0001002_P8	SGB50718
353-167	kSGB_24947:Species:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_oral_taxon_500|t__SGB24947:0.25242	Lachnospiraceae_bacterium_oral_taxon_500	SGB24947
442-247	uSGB_1518:Genus:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_SGB1518|t__SGB1518:0.306598	Prevotella_SGB1518	SGB1518
